account_id,account_name,global_region,industry_vertical,contract_tier,active_seats,total_licensed_seats,credits_consumed,monthly_credit_allowance,annual_contract_value,snapshot_month,api_calls_latest,api_mom_pct,api_3m_pct,seat_utilization,credit_utilization,account_status
ACC_0782,BizCorp_0782,AMER,Retail,Premium,20,23,25538,30692,16560,2026-08-01,32252,0.053,0.28,0.87,0.832,Expansion Opportunity
ACC_0482,BizCorp_0482,APAC,Retail,Standard,15,16,13265,27745,15360,2026-08-01,16593,0.352,0.656,0.938,0.478,Expansion Opportunity
ACC_0431,BizCorp_0431,AMER,Retail,Standard,16,16,10834,19953,15360,2026-08-01,12068,0.074,0.351,1.0,0.543,Expansion Opportunity
ACC_0327,BizCorp_0327,EMEA,Technology,Standard,8,16,3150,3430,15360,2026-08-01,3690,0.118,1.077,0.5,0.918,Expansion Opportunity
ACC_0554,BizCorp_0554,AMER,Logistics,Premium,21,21,55573,64416,15120,2026-08-01,67857,0.156,0.556,1.0,0.863,Expansion Opportunity
ACC_0070,BizCorp_0070,EMEA,Healthcare,Standard,15,15,7892,8910,14400,2026-08-01,9236,0.201,0.806,1.0,0.886,Expansion Opportunity
ACC_0036,BizCorp_0036,AMER,Financial Services,Standard,15,15,14490,13005,14400,2026-08-01,16702,0.115,0.747,1.0,1.114,Expansion Opportunity
ACC_0667,BizCorp_0667,AMER,Manufacturing,Standard,12,14,8969,10098,13440,2026-08-01,11596,0.274,0.76,0.857,0.888,Expansion Opportunity
ACC_0093,BizCorp_0093,APAC,Financial Services,Standard,13,13,8926,7608,12480,2026-08-01,10020,0.21,0.503,1.0,1.173,Expansion Opportunity
ACC_0031,BizCorp_0031,AMER,Manufacturing,Standard,11,13,7722,10573,12480,2026-08-01,9016,0.187,0.681,0.846,0.73,Expansion Opportunity
ACC_0079,BizCorp_0079,APAC,Technology,Standard,11,13,5150,9616,12480,2026-08-01,6392,0.332,0.781,0.846,0.536,Expansion Opportunity
ACC_0044,BizCorp_0044,EMEA,Financial Services,Standard,12,12,5525,6049,11520,2026-08-01,6478,0.106,0.683,1.0,0.913,Expansion Opportunity
ACC_0154,BizCorp_0154,AMER,Retail,Standard,6,12,14691,14257,11520,2026-08-01,17157,0.118,0.643,0.5,1.03,Expansion Opportunity
ACC_0348,BizCorp_0348,APAC,Manufacturing,Standard,8,12,8502,8072,11520,2026-08-01,9443,0.045,0.63,0.667,1.053,Expansion Opportunity
ACC_0062,BizCorp_0062,AMER,Financial Services,Standard,11,11,7818,9861,10560,2026-08-01,9678,0.175,0.836,1.0,0.793,Expansion Opportunity
ACC_0589,BizCorp_0589,AMER,Manufacturing,Standard,11,11,8342,19361,10560,2026-08-01,9731,0.263,0.646,1.0,0.431,Expansion Opportunity
ACC_0484,BizCorp_0484,AMER,Logistics,Standard,6,11,8654,7356,10560,2026-08-01,10820,0.285,0.815,0.545,1.176,Expansion Opportunity
ACC_0964,BizCorp_0964,APAC,Manufacturing,Standard,7,11,6315,5368,10560,2026-08-01,7877,0.23,0.582,0.636,1.176,Expansion Opportunity
ACC_0708,BizCorp_0708,AMER,Healthcare,Standard,8,10,8444,17089,9600,2026-08-01,10210,0.125,0.57,0.8,0.494,Expansion Opportunity
ACC_0028,BizCorp_0028,APAC,Financial Services,Standard,10,10,9227,11916,9600,2026-08-01,10396,0.208,0.45,1.0,0.774,Expansion Opportunity
ACC_0580,BizCorp_0580,APAC,Manufacturing,Standard,9,10,8392,15188,9600,2026-08-01,10255,0.267,0.742,0.9,0.553,Expansion Opportunity
ACC_0200,BizCorp_0200,AMER,Technology,Standard,6,10,8387,7741,9600,2026-08-01,10293,0.306,0.522,0.6,1.083,Expansion Opportunity
ACC_0039,BizCorp_0039,APAC,Healthcare,Standard,7,9,7434,7103,8640,2026-08-01,8857,0.139,1.048,0.778,1.047,Expansion Opportunity
ACC_0829,BizCorp_0829,AMER,Technology,Standard,9,9,7325,10288,8640,2026-08-01,9301,0.234,0.576,1.0,0.712,Expansion Opportunity
ACC_0219,BizCorp_0219,APAC,Healthcare,Standard,7,8,5360,4556,7680,2026-08-01,6109,-0.023,0.387,0.875,1.176,Expansion Opportunity
ACC_0548,BizCorp_0548,APAC,Financial Services,Standard,7,8,6354,8084,7680,2026-08-01,7656,0.31,0.809,0.875,0.786,Expansion Opportunity
ACC_0046,BizCorp_0046,AMER,Financial Services,Standard,7,7,7197,5964,6720,2026-08-01,7967,0.171,0.73,1.0,1.207,Expansion Opportunity
ACC_0811,BizCorp_0811,APAC,Logistics,Standard,6,7,7423,13063,6720,2026-08-01,8669,0.143,0.585,0.857,0.568,Expansion Opportunity
ACC_0496,BizCorp_0496,AMER,Technology,Standard,4,6,15222,14358,5760,2026-08-01,17712,0.223,0.42,0.667,1.06,Expansion Opportunity
ACC_0475,BizCorp_0475,APAC,Financial Services,Standard,6,6,9863,17361,5760,2026-08-01,11997,0.301,0.512,1.0,0.568,Expansion Opportunity
ACC_0959,BizCorp_0959,AMER,Healthcare,Standard,5,5,6426,8617,4800,2026-08-01,7821,0.093,0.3,1.0,0.746,Expansion Opportunity
