account_id,snapshot_month,account_status,api_calls_latest,api_mom_pct,api_3m_pct,seat_utilization,credit_utilization,status_sort,recommended_action
ACC_0025,2026-08-01,Churn Risk,1055,-0.522,-0.872,0.077,0.063,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0026,2026-08-01,Expansion Opportunity,41851,0.22,0.674,1.0,1.068,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0027,2026-08-01,Expansion Opportunity,83875,0.404,0.658,1.0,0.937,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0028,2026-08-01,Expansion Opportunity,10396,0.208,0.45,1.0,0.774,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0029,2026-08-01,Expansion Opportunity,85434,0.326,0.798,1.0,1.147,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0030,2026-08-01,Expansion Opportunity,15235,0.178,0.594,0.934,0.625,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0031,2026-08-01,Expansion Opportunity,9016,0.187,0.681,0.846,0.73,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0032,2026-08-01,Low Adoption,45912,0.038,0.391,0.488,0.752,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0033,2026-08-01,Expansion Opportunity,448046,0.035,0.566,0.698,1.106,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0034,2026-08-01,Churn Risk,847,-0.554,-0.898,0.071,0.055,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0035,2026-08-01,Healthy,4215,0.036,0.033,0.5,0.439,4,Monitor - no action required
ACC_0036,2026-08-01,Expansion Opportunity,16702,0.115,0.747,1.0,1.114,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0037,2026-08-01,Churn Risk,2895,-0.525,-0.898,0.05,0.071,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0038,2026-08-01,Healthy,79051,0.148,0.111,0.816,0.428,4,Monitor - no action required
ACC_0039,2026-08-01,Expansion Opportunity,8857,0.139,1.048,0.778,1.047,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0040,2026-08-01,Healthy,147913,0.129,0.098,0.659,0.535,4,Monitor - no action required
ACC_0041,2026-08-01,Healthy,43300,-0.175,-0.168,0.625,0.653,4,Monitor - no action required
ACC_0042,2026-08-01,Churn Risk,875,-0.552,-0.871,0.071,0.066,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0043,2026-08-01,Healthy,31820,0.049,0.176,0.597,0.459,4,Monitor - no action required
ACC_0044,2026-08-01,Expansion Opportunity,6478,0.106,0.683,1.0,0.913,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0045,2026-08-01,Expansion Opportunity,157420,0.096,0.948,0.977,0.646,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0046,2026-08-01,Expansion Opportunity,7967,0.171,0.73,1.0,1.207,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0047,2026-08-01,Churn Risk,401,-0.506,-0.863,0.067,0.054,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0048,2026-08-01,Churn Risk,2593,-0.487,-0.873,0.084,0.062,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0049,2026-08-01,Expansion Opportunity,401726,0.133,0.696,1.0,0.848,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0050,2026-08-01,Expansion Opportunity,20984,0.215,0.672,0.836,0.573,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0051,2026-08-01,Healthy,221420,0.215,0.394,0.629,0.596,4,Monitor - no action required
ACC_0052,2026-08-01,Expansion Opportunity,44870,0.409,0.739,1.0,0.54,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0053,2026-08-01,Healthy,8811,-0.035,-0.118,0.5,0.648,4,Monitor - no action required
ACC_0054,2026-08-01,Healthy,4195,0.342,0.409,0.667,0.401,4,Monitor - no action required
ACC_0055,2026-08-01,Low Adoption,30913,-0.132,-0.103,0.395,0.523,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0056,2026-08-01,Healthy,15151,-0.141,-0.057,0.635,0.496,4,Monitor - no action required
ACC_0057,2026-08-01,Churn Risk,1235,-0.431,-0.865,0.167,0.07,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0058,2026-08-01,Healthy,4429,-0.096,0.067,0.5,0.309,4,Monitor - no action required
ACC_0059,2026-08-01,Churn Risk,626,-0.444,-0.872,0.059,0.084,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0060,2026-08-01,Healthy,9342,0.065,0.717,0.765,0.882,4,Monitor - no action required
ACC_0061,2026-08-01,Healthy,40012,0.056,-0.036,0.62,0.539,4,Monitor - no action required
ACC_0062,2026-08-01,Expansion Opportunity,9678,0.175,0.836,1.0,0.793,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0063,2026-08-01,Churn Risk,29414,-0.5,-0.858,0.094,0.063,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0064,2026-08-01,Healthy,19415,0.173,0.207,0.679,0.654,4,Monitor - no action required
ACC_0065,2026-08-01,Healthy,143834,-0.058,0.048,0.64,0.627,4,Monitor - no action required
ACC_0066,2026-08-01,Low Adoption,2571,0.026,0.169,0.4,0.361,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0067,2026-08-01,Low Adoption,158542,-0.085,-0.209,0.462,0.408,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0068,2026-08-01,Healthy,4427,-0.137,-0.055,0.667,0.574,4,Monitor - no action required
ACC_0069,2026-08-01,Healthy,165022,0.087,0.012,0.503,0.344,4,Monitor - no action required
ACC_0070,2026-08-01,Expansion Opportunity,9236,0.201,0.806,1.0,0.886,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0071,2026-08-01,Churn Risk,1328,-0.519,-0.869,0.071,0.086,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0072,2026-08-01,Healthy,10375,0.397,0.169,0.684,0.569,4,Monitor - no action required
ACC_0073,2026-08-01,Expansion Opportunity,555920,0.222,0.828,1.0,1.193,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0074,2026-08-01,Expansion Opportunity,32049,0.201,0.898,1.0,0.728,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0075,2026-08-01,Low Adoption,5173,-0.176,0.039,0.421,0.326,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0076,2026-08-01,Low Adoption,331023,0.056,0.216,0.457,0.729,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0077,2026-08-01,Expansion Opportunity,632175,0.179,0.673,1.0,1.125,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0078,2026-08-01,Churn Risk,1784,-0.545,-0.873,0.057,0.059,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0079,2026-08-01,Expansion Opportunity,6392,0.332,0.781,0.846,0.536,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0080,2026-08-01,Churn Risk,17006,-0.502,-0.883,0.051,0.073,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0081,2026-08-01,Healthy,23935,-0.032,-0.016,0.565,0.412,4,Monitor - no action required
ACC_0082,2026-08-01,Healthy,6328,0.155,-0.062,0.5,0.536,4,Monitor - no action required
ACC_0083,2026-08-01,Healthy,39009,-0.053,-0.142,0.73,0.52,4,Monitor - no action required
ACC_0084,2026-08-01,Healthy,281897,0.139,0.169,0.618,0.658,4,Monitor - no action required
ACC_0085,2026-08-01,Healthy,109958,-0.119,-0.002,0.533,0.588,4,Monitor - no action required
ACC_0086,2026-08-01,Healthy,5322,0.222,0.014,0.667,0.398,4,Monitor - no action required
ACC_0087,2026-08-01,Low Adoption,4137,-0.238,-0.228,0.444,0.494,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0088,2026-08-01,Expansion Opportunity,38089,0.059,0.853,1.0,0.775,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0089,2026-08-01,Churn Risk,963,-0.516,-0.864,0.125,0.074,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0090,2026-08-01,Healthy,60620,-0.168,-0.017,0.541,0.296,4,Monitor - no action required
ACC_0091,2026-08-01,Low Adoption,3047,-0.161,-0.002,0.333,0.476,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0092,2026-08-01,Healthy,55221,-0.143,-0.049,0.616,0.619,4,Monitor - no action required
ACC_0093,2026-08-01,Expansion Opportunity,10020,0.21,0.503,1.0,1.173,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0094,2026-08-01,Expansion Opportunity,38272,0.203,0.554,1.0,0.636,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0095,2026-08-01,Healthy,35451,0.059,0.106,0.6,0.701,4,Monitor - no action required
ACC_0096,2026-08-01,Low Adoption,6558,-0.014,0.192,0.455,0.478,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0097,2026-08-01,Healthy,6152,0.154,0.389,0.538,0.453,4,Monitor - no action required
ACC_0098,2026-08-01,Churn Risk,2730,-0.476,-0.847,0.045,0.052,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0099,2026-08-01,Churn Risk,3104,-0.519,-0.884,0.07,0.045,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0100,2026-08-01,Expansion Opportunity,13234,0.196,0.994,1.0,0.999,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0101,2026-08-01,Churn Risk,4355,-0.516,-0.859,0.058,0.049,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0102,2026-08-01,Healthy,226553,0.096,0.521,0.643,0.655,4,Monitor - no action required
ACC_0103,2026-08-01,Healthy,54438,0.289,0.542,0.538,0.47,4,Monitor - no action required
ACC_0104,2026-08-01,Healthy,298451,-0.222,-0.037,0.577,0.697,4,Monitor - no action required
ACC_0105,2026-08-01,Healthy,18424,-0.034,-0.16,0.517,0.561,4,Monitor - no action required
ACC_0106,2026-08-01,Low Adoption,259566,-0.093,-0.013,0.462,0.551,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0107,2026-08-01,Healthy,48217,0.232,0.875,0.582,0.526,4,Monitor - no action required
ACC_0108,2026-08-01,Low Adoption,25395,0.138,0.24,0.358,0.677,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0109,2026-08-01,Healthy,7472,-0.166,-0.001,0.545,0.369,4,Monitor - no action required
ACC_0110,2026-08-01,Expansion Opportunity,131562,0.289,0.885,0.854,0.486,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0111,2026-08-01,Expansion Opportunity,42237,0.24,0.589,0.96,0.5,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0112,2026-08-01,Healthy,41421,0.022,-0.114,0.617,0.549,4,Monitor - no action required
ACC_0113,2026-08-01,Churn Risk,25502,-0.451,-0.888,0.066,0.064,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0114,2026-08-01,Healthy,173736,0.291,-0.044,0.962,0.626,4,Monitor - no action required
ACC_0115,2026-08-01,Healthy,4665,-0.061,0.068,0.571,0.387,4,Monitor - no action required
ACC_0116,2026-08-01,Healthy,114399,-0.067,-0.11,0.922,0.576,4,Monitor - no action required
ACC_0117,2026-08-01,Low Adoption,86451,-0.063,0.242,0.496,0.437,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0118,2026-08-01,Healthy,7458,0.198,0.894,0.5,0.627,4,Monitor - no action required
ACC_0119,2026-08-01,Churn Risk,1314,-0.433,-0.887,0.062,0.057,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0120,2026-08-01,Healthy,6654,0.025,0.081,0.625,0.56,4,Monitor - no action required
ACC_0121,2026-08-01,Healthy,2516,-0.183,-0.042,0.5,0.598,4,Monitor - no action required
ACC_0122,2026-08-01,Healthy,2371,-0.076,-0.187,0.818,0.444,4,Monitor - no action required
ACC_0123,2026-08-01,Healthy,5573,0.081,0.183,0.542,0.514,4,Monitor - no action required
ACC_0124,2026-08-01,Healthy,285951,0.034,-0.03,0.713,0.52,4,Monitor - no action required
ACC_0125,2026-08-01,Expansion Opportunity,231814,0.188,0.684,1.0,0.868,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0126,2026-08-01,Churn Risk,3154,-0.541,-0.87,0.071,0.049,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0127,2026-08-01,Churn Risk,2967,-0.519,-0.874,0.094,0.07,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0128,2026-08-01,Churn Risk,2704,-0.555,-0.891,0.053,0.131,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0129,2026-08-01,Expansion Opportunity,217343,0.254,0.817,0.791,1.105,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0130,2026-08-01,Healthy,15446,0.07,0.13,0.591,0.546,4,Monitor - no action required
ACC_0131,2026-08-01,Churn Risk,479,-0.511,-0.887,0.125,0.061,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0132,2026-08-01,Low Adoption,5904,0.322,0.129,0.471,0.523,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0133,2026-08-01,Healthy,16908,-0.138,0.022,0.675,0.76,4,Monitor - no action required
ACC_0134,2026-08-01,Healthy,56809,0.255,1.199,0.569,0.634,4,Monitor - no action required
ACC_0135,2026-08-01,Healthy,19180,0.181,0.98,0.615,0.463,4,Monitor - no action required
ACC_0136,2026-08-01,Healthy,43708,0.027,-0.022,0.6,0.832,4,Monitor - no action required
ACC_0137,2026-08-01,Healthy,172161,0.097,0.065,0.719,0.574,4,Monitor - no action required
ACC_0138,2026-08-01,Healthy,60217,0.191,0.474,0.518,0.56,4,Monitor - no action required
ACC_0139,2026-08-01,Churn Risk,4773,-0.49,-0.88,0.104,0.079,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0140,2026-08-01,Low Adoption,17131,0.309,0.879,0.417,0.564,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0141,2026-08-01,Churn Risk,12518,-0.475,-0.88,0.111,0.106,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0142,2026-08-01,Healthy,5440,0.23,0.031,0.824,0.41,4,Monitor - no action required
ACC_0143,2026-08-01,Healthy,11777,0.154,0.032,0.587,0.62,4,Monitor - no action required
ACC_0144,2026-08-01,Healthy,15063,0.022,0.068,0.591,0.664,4,Monitor - no action required
ACC_0145,2026-08-01,Healthy,3176,-0.113,0.119,0.533,0.332,4,Monitor - no action required
ACC_0146,2026-08-01,Healthy,5063,-0.059,0.059,0.529,0.377,4,Monitor - no action required
ACC_0147,2026-08-01,Healthy,331225,0.255,0.687,0.513,0.517,4,Monitor - no action required
ACC_0148,2026-08-01,Healthy,6669,-0.036,0.155,0.75,1.004,4,Monitor - no action required
ACC_0149,2026-08-01,Healthy,43134,0.29,0.6,0.7,0.671,4,Monitor - no action required
ACC_0150,2026-08-01,Churn Risk,24340,-0.525,-0.868,0.056,0.095,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0151,2026-08-01,Healthy,381445,-0.063,-0.113,0.645,0.582,4,Monitor - no action required
ACC_0152,2026-08-01,Healthy,75138,0.108,0.932,0.642,0.487,4,Monitor - no action required
ACC_0153,2026-08-01,Healthy,191802,0.049,0.115,0.853,0.854,4,Monitor - no action required
ACC_0154,2026-08-01,Expansion Opportunity,17157,0.118,0.643,0.5,1.03,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0155,2026-08-01,Churn Risk,658,-0.552,-0.897,0.143,0.076,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0156,2026-08-01,Healthy,5465,-0.018,0.078,0.571,0.405,4,Monitor - no action required
ACC_0157,2026-08-01,Healthy,59847,0.031,-0.04,0.623,0.499,4,Monitor - no action required
ACC_0158,2026-08-01,Healthy,32775,-0.156,-0.001,0.591,0.419,4,Monitor - no action required
ACC_0159,2026-08-01,Churn Risk,3514,-0.475,-0.892,0.091,0.071,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0160,2026-08-01,Healthy,6835,0.14,0.045,0.588,0.423,4,Monitor - no action required
ACC_0161,2026-08-01,Expansion Opportunity,289420,0.207,0.868,1.0,0.621,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0162,2026-08-01,Low Adoption,61330,0.166,0.062,0.352,0.71,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0163,2026-08-01,Expansion Opportunity,52439,0.168,0.991,0.683,1.176,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0164,2026-08-01,Expansion Opportunity,30431,0.121,0.33,0.964,0.912,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0165,2026-08-01,Healthy,211488,0.016,-0.205,0.959,0.543,4,Monitor - no action required
ACC_0166,2026-08-01,Churn Risk,1959,-0.495,-0.883,0.093,0.071,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0167,2026-08-01,Healthy,34198,0.206,0.226,0.725,0.591,4,Monitor - no action required
ACC_0168,2026-08-01,Healthy,367410,0.159,0.786,0.717,0.547,4,Monitor - no action required
ACC_0169,2026-08-01,Healthy,9007,0.114,0.954,0.5,0.56,4,Monitor - no action required
ACC_0170,2026-08-01,Churn Risk,7157,-0.498,-0.866,0.074,0.093,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0171,2026-08-01,Churn Risk,3596,-0.493,-0.893,0.038,0.038,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0172,2026-08-01,Expansion Opportunity,65870,0.227,0.785,0.827,0.919,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0173,2026-08-01,Healthy,16848,0.132,-0.071,0.525,1.11,4,Monitor - no action required
ACC_0174,2026-08-01,Churn Risk,29591,-0.44,-0.855,0.109,0.075,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0175,2026-08-01,Healthy,48890,0.169,-0.004,0.679,0.607,4,Monitor - no action required
ACC_0176,2026-08-01,Low Adoption,22646,-0.129,-0.101,0.478,0.968,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0177,2026-08-01,Healthy,9522,0.271,0.836,0.6,0.669,4,Monitor - no action required
ACC_0178,2026-08-01,Churn Risk,14090,-0.487,-0.879,0.055,0.146,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0179,2026-08-01,Healthy,100635,0.251,0.781,0.676,0.892,4,Monitor - no action required
ACC_0180,2026-08-01,Churn Risk,12761,-0.497,-0.871,0.066,0.043,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0181,2026-08-01,Low Adoption,6318,0.212,0.843,0.444,0.515,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0182,2026-08-01,Healthy,149696,0.21,0.385,0.655,0.76,4,Monitor - no action required
ACC_0183,2026-08-01,Healthy,2945,0.337,0.1,0.545,0.627,4,Monitor - no action required
ACC_0184,2026-08-01,Low Adoption,10970,0.148,0.453,0.417,0.476,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0185,2026-08-01,Expansion Opportunity,47231,0.247,0.783,0.961,0.707,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0186,2026-08-01,Healthy,26753,0.399,0.228,0.81,0.875,4,Monitor - no action required
ACC_0187,2026-08-01,Churn Risk,5198,-0.553,-0.875,0.069,0.064,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0188,2026-08-01,Healthy,6776,-0.044,0.218,0.833,0.492,4,Monitor - no action required
ACC_0189,2026-08-01,Low Adoption,5491,-0.072,-0.178,0.389,1.019,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0190,2026-08-01,Healthy,239759,0.063,0.105,0.956,0.372,4,Monitor - no action required
ACC_0191,2026-08-01,Healthy,29362,0.287,0.197,0.756,0.466,4,Monitor - no action required
ACC_0192,2026-08-01,Healthy,54183,0.295,0.103,0.585,0.541,4,Monitor - no action required
ACC_0193,2026-08-01,Healthy,192490,0.16,0.602,0.694,0.523,4,Monitor - no action required
ACC_0194,2026-08-01,Churn Risk,583,-0.479,-0.881,0.083,0.043,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0195,2026-08-01,Churn Risk,722,-0.486,-0.876,0.2,0.056,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0196,2026-08-01,Healthy,24819,0.214,-0.089,0.538,0.431,4,Monitor - no action required
ACC_0197,2026-08-01,Churn Risk,666,-0.47,-0.894,0.077,0.13,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0198,2026-08-01,Healthy,6377,0.142,0.567,0.632,0.413,4,Monitor - no action required
ACC_0199,2026-08-01,Churn Risk,18430,-0.447,-0.857,0.118,0.086,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0200,2026-08-01,Expansion Opportunity,10293,0.306,0.522,0.6,1.083,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0201,2026-08-01,Healthy,6972,0.161,0.812,0.714,0.512,4,Monitor - no action required
ACC_0202,2026-08-01,Healthy,187886,-0.057,-0.053,0.702,0.454,4,Monitor - no action required
ACC_0203,2026-08-01,Healthy,336574,-0.179,0.049,0.514,0.603,4,Monitor - no action required
ACC_0204,2026-08-01,Healthy,210346,-0.033,0.116,0.546,0.66,4,Monitor - no action required
ACC_0205,2026-08-01,Healthy,170814,-0.02,0.065,0.656,0.448,4,Monitor - no action required
ACC_0206,2026-08-01,Healthy,72098,0.093,-0.018,0.944,1.057,4,Monitor - no action required
ACC_0207,2026-08-01,Healthy,255766,-0.14,0.113,0.639,0.507,4,Monitor - no action required
ACC_0208,2026-08-01,Healthy,16584,0.165,0.09,0.57,0.409,4,Monitor - no action required
ACC_0209,2026-08-01,Healthy,242739,0.093,-0.13,0.748,0.939,4,Monitor - no action required
ACC_0210,2026-08-01,Low Adoption,381214,-0.001,0.256,0.489,0.369,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0211,2026-08-01,Healthy,31420,0.012,0.095,0.921,0.441,4,Monitor - no action required
ACC_0212,2026-08-01,Churn Risk,14744,-0.506,-0.858,0.059,0.091,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0213,2026-08-01,Healthy,141008,0.111,-0.102,0.716,0.449,4,Monitor - no action required
ACC_0214,2026-08-01,Healthy,218715,0.021,-0.04,0.6,0.373,4,Monitor - no action required
ACC_0215,2026-08-01,Healthy,28824,0.074,0.645,0.517,0.659,4,Monitor - no action required
ACC_0216,2026-08-01,Churn Risk,568,-0.505,-0.877,0.056,0.059,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0217,2026-08-01,Healthy,237571,0.259,0.191,0.652,0.544,4,Monitor - no action required
ACC_0218,2026-08-01,Healthy,25635,-0.031,0.031,0.583,0.593,4,Monitor - no action required
ACC_0219,2026-08-01,Expansion Opportunity,6109,-0.023,0.387,0.875,1.176,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0220,2026-08-01,Churn Risk,1373,-0.554,-0.868,0.333,0.047,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0221,2026-08-01,Healthy,5688,-0.127,0.043,0.571,0.544,4,Monitor - no action required
ACC_0222,2026-08-01,Healthy,16799,-0.061,-0.067,0.545,0.585,4,Monitor - no action required
ACC_0223,2026-08-01,Healthy,6890,-0.141,0.182,0.625,0.275,4,Monitor - no action required
ACC_0224,2026-08-01,Healthy,123085,0.083,0.05,0.622,0.495,4,Monitor - no action required
ACC_0225,2026-08-01,Healthy,33114,-0.263,-0.27,0.833,0.402,4,Monitor - no action required
ACC_0226,2026-08-01,Churn Risk,4113,-0.497,-0.865,0.073,0.059,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0227,2026-08-01,Healthy,10278,0.374,0.863,0.7,0.513,4,Monitor - no action required
ACC_0228,2026-08-01,Healthy,68778,-0.063,-0.033,0.981,0.625,4,Monitor - no action required
ACC_0229,2026-08-01,Low Adoption,54773,0.161,0.94,0.488,0.456,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0230,2026-08-01,Healthy,10673,-0.081,-0.044,1.0,0.568,4,Monitor - no action required
