account_id,account_name,usage_month,active_seats,total_api_calls,credits_consumed,global_region,industry_vertical,contract_tier,total_licensed_seats,monthly_credit_allowance,annual_contract_value,firmographic_source
ACC_0003,BizCorp_0003,2026-06-01,212,168566,150297,AMER,Retail,Enterprise,480,385929,259200,Reference sample
ACC_0003,BizCorp_0003,2026-07-01,197,201760,159181,AMER,Retail,Enterprise,480,385929,259200,Reference sample
ACC_0003,BizCorp_0003,2026-08-01,204,181658,152641,AMER,Retail,Enterprise,480,385929,259200,Reference sample
ACC_0004,BizCorp_0004,2026-03-01,20,7984,6729,AMER,Technology,Premium,25,21952,18000,Reference sample
ACC_0004,BizCorp_0004,2026-04-01,19,9378,7466,AMER,Technology,Premium,25,21952,18000,Reference sample
ACC_0004,BizCorp_0004,2026-05-01,21,7947,7004,AMER,Technology,Premium,25,21952,18000,Reference sample
ACC_0004,BizCorp_0004,2026-06-01,20,7185,5835,AMER,Technology,Premium,25,21952,18000,Reference sample
ACC_0004,BizCorp_0004,2026-07-01,20,8000,6269,AMER,Technology,Premium,25,21952,18000,Reference sample
ACC_0004,BizCorp_0004,2026-08-01,19,8471,6840,AMER,Technology,Premium,25,21952,18000,Reference sample
ACC_0005,BizCorp_0005,2026-03-01,2,10807,9592,AMER,Logistics,Standard,5,14195,4800,Reference sample
ACC_0005,BizCorp_0005,2026-04-01,2,12888,10313,AMER,Logistics,Standard,5,14195,4800,Reference sample
ACC_0005,BizCorp_0005,2026-05-01,2,13124,10317,AMER,Logistics,Standard,5,14195,4800,Reference sample
ACC_0005,BizCorp_0005,2026-06-01,2,13492,11001,AMER,Logistics,Standard,5,14195,4800,Reference sample
ACC_0005,BizCorp_0005,2026-07-01,2,11687,10092,AMER,Logistics,Standard,5,14195,4800,Reference sample
ACC_0005,BizCorp_0005,2026-08-01,2,13263,10232,AMER,Logistics,Standard,5,14195,4800,Reference sample
ACC_0006,BizCorp_0006,2026-03-01,266,230719,197121,EMEA,Technology,Enterprise,460,385706,248400,Reference sample
ACC_0006,BizCorp_0006,2026-04-01,275,280672,227554,EMEA,Technology,Enterprise,460,385706,248400,Reference sample
ACC_0006,BizCorp_0006,2026-05-01,272,303626,239401,EMEA,Technology,Enterprise,460,385706,248400,Reference sample
ACC_0006,BizCorp_0006,2026-06-01,264,310429,246048,EMEA,Technology,Enterprise,460,385706,248400,Reference sample
ACC_0006,BizCorp_0006,2026-07-01,277,215759,191096,EMEA,Technology,Enterprise,460,385706,248400,Reference sample
ACC_0006,BizCorp_0006,2026-08-01,286,253470,202770,EMEA,Technology,Enterprise,460,385706,248400,Reference sample
ACC_0007,BizCorp_0007,2026-03-01,70,23929,19039,AMER,Technology,Premium,96,38231,69120,Reference sample
ACC_0007,BizCorp_0007,2026-04-01,71,26000,22190,AMER,Technology,Premium,96,38231,69120,Reference sample
ACC_0007,BizCorp_0007,2026-05-01,75,28015,22683,AMER,Technology,Premium,96,38231,69120,Reference sample
ACC_0007,BizCorp_0007,2026-06-01,77,24720,20107,AMER,Technology,Premium,96,38231,69120,Reference sample
ACC_0007,BizCorp_0007,2026-07-01,74,27694,21991,AMER,Technology,Premium,96,38231,69120,Reference sample
ACC_0007,BizCorp_0007,2026-08-01,79,25724,23188,AMER,Technology,Premium,96,38231,69120,Reference sample
ACC_0008,BizCorp_0008,2026-03-01,192,217112,179369,EMEA,Technology,Enterprise,317,278389,171180,Reference sample
ACC_0008,BizCorp_0008,2026-04-01,158,215288,175873,EMEA,Technology,Enterprise,317,278389,171180,Reference sample
ACC_0008,BizCorp_0008,2026-05-01,185,267319,211153,EMEA,Technology,Enterprise,317,278389,171180,Reference sample
ACC_0008,BizCorp_0008,2026-06-01,211,292440,228060,EMEA,Technology,Enterprise,317,278389,171180,Reference sample
ACC_0008,BizCorp_0008,2026-07-01,253,339607,273673,EMEA,Technology,Enterprise,317,278389,171180,Reference sample
ACC_0008,BizCorp_0008,2026-08-01,304,403785,328407,EMEA,Technology,Enterprise,317,278389,171180,Reference sample
ACC_0009,BizCorp_0009,2026-03-01,10,5110,4133,AMER,Healthcare,Standard,15,6674,14400,Reference sample
ACC_0009,BizCorp_0009,2026-04-01,9,4965,4128,AMER,Healthcare,Standard,15,6674,14400,Reference sample
ACC_0009,BizCorp_0009,2026-05-01,10,5424,4478,AMER,Healthcare,Standard,15,6674,14400,Reference sample
ACC_0009,BizCorp_0009,2026-06-01,9,5399,4691,AMER,Healthcare,Standard,15,6674,14400,Reference sample
ACC_0009,BizCorp_0009,2026-07-01,10,5500,4864,AMER,Healthcare,Standard,15,6674,14400,Reference sample
ACC_0009,BizCorp_0009,2026-08-01,9,4809,4332,AMER,Healthcare,Standard,15,6674,14400,Reference sample
ACC_0010,BizCorp_0010,2026-03-01,9,7104,6106,APAC,Manufacturing,Standard,16,10635,15360,Reference sample
ACC_0010,BizCorp_0010,2026-04-01,9,5671,5093,APAC,Manufacturing,Standard,16,10635,15360,Reference sample
ACC_0010,BizCorp_0010,2026-05-01,9,6621,5484,APAC,Manufacturing,Standard,16,10635,15360,Reference sample
ACC_0010,BizCorp_0010,2026-06-01,4,3146,2813,APAC,Manufacturing,Standard,16,10635,15360,Reference sample
ACC_0010,BizCorp_0010,2026-07-01,2,1608,1406,APAC,Manufacturing,Standard,16,10635,15360,Reference sample
ACC_0010,BizCorp_0010,2026-08-01,1,803,703,APAC,Manufacturing,Standard,16,10635,15360,Reference sample
ACC_0011,BizCorp_0011,2026-03-01,11,7119,5958,AMER,Healthcare,Standard,19,13785,18240,Reference sample
ACC_0011,BizCorp_0011,2026-04-01,10,7611,6189,AMER,Healthcare,Standard,19,13785,18240,Reference sample
ACC_0011,BizCorp_0011,2026-05-01,9,6300,5488,AMER,Healthcare,Standard,19,13785,18240,Reference sample
ACC_0011,BizCorp_0011,2026-06-01,5,3534,2877,AMER,Healthcare,Standard,19,13785,18240,Reference sample
ACC_0011,BizCorp_0011,2026-07-01,2,1845,1438,AMER,Healthcare,Standard,19,13785,18240,Reference sample
ACC_0011,BizCorp_0011,2026-08-01,1,825,719,AMER,Healthcare,Standard,19,13785,18240,Reference sample
ACC_0012,BizCorp_0012,2026-03-01,10,6243,5304,APAC,Technology,Standard,14,10925,13440,Reference sample
ACC_0012,BizCorp_0012,2026-04-01,9,5609,4375,APAC,Technology,Standard,14,10925,13440,Reference sample
ACC_0012,BizCorp_0012,2026-05-01,10,5677,4504,APAC,Technology,Standard,14,10925,13440,Reference sample
ACC_0012,BizCorp_0012,2026-06-01,9,5168,4039,APAC,Technology,Standard,14,10925,13440,Reference sample
ACC_0012,BizCorp_0012,2026-07-01,8,6060,4699,APAC,Technology,Standard,14,10925,13440,Reference sample
ACC_0012,BizCorp_0012,2026-08-01,8,6424,5320,APAC,Technology,Standard,14,10925,13440,Reference sample
ACC_0013,BizCorp_0013,2026-03-01,90,53889,43562,APAC,Technology,Enterprise,136,124025,73440,Reference sample
ACC_0013,BizCorp_0013,2026-04-01,94,55001,43454,APAC,Technology,Enterprise,136,124025,73440,Reference sample
ACC_0013,BizCorp_0013,2026-05-01,95,60675,51115,APAC,Technology,Enterprise,136,124025,73440,Reference sample
ACC_0013,BizCorp_0013,2026-06-01,94,51399,41545,APAC,Technology,Enterprise,136,124025,73440,Reference sample
ACC_0013,BizCorp_0013,2026-07-01,80,56226,50765,APAC,Technology,Enterprise,136,124025,73440,Reference sample
ACC_0013,BizCorp_0013,2026-08-01,80,49534,43059,APAC,Technology,Enterprise,136,124025,73440,Reference sample
ACC_0014,BizCorp_0014,2026-03-01,18,16335,13324,AMER,Healthcare,Premium,31,35256,22320,Reference sample
ACC_0014,BizCorp_0014,2026-04-01,19,14554,11788,AMER,Healthcare,Premium,31,35256,22320,Reference sample
ACC_0014,BizCorp_0014,2026-05-01,19,17586,14372,AMER,Healthcare,Premium,31,35256,22320,Reference sample
ACC_0014,BizCorp_0014,2026-06-01,20,17537,14141,AMER,Healthcare,Premium,31,35256,22320,Reference sample
ACC_0014,BizCorp_0014,2026-07-01,17,17442,15557,AMER,Healthcare,Premium,31,35256,22320,Reference sample
ACC_0014,BizCorp_0014,2026-08-01,20,14485,12965,AMER,Healthcare,Premium,31,35256,22320,Reference sample
ACC_0015,BizCorp_0015,2026-03-01,39,39783,34777,EMEA,Technology,Premium,79,61660,56880,Reference sample
ACC_0015,BizCorp_0015,2026-04-01,45,53622,42226,EMEA,Technology,Premium,79,61660,56880,Reference sample
ACC_0015,BizCorp_0015,2026-05-01,41,46771,40334,EMEA,Technology,Premium,79,61660,56880,Reference sample
ACC_0015,BizCorp_0015,2026-06-01,52,59435,46529,EMEA,Technology,Premium,79,61660,56880,Reference sample
ACC_0015,BizCorp_0015,2026-07-01,62,72198,55835,EMEA,Technology,Premium,79,61660,56880,Reference sample
ACC_0015,BizCorp_0015,2026-08-01,75,85322,67002,EMEA,Technology,Premium,79,61660,56880,Reference sample
ACC_0016,BizCorp_0016,2026-03-01,55,10156,9164,APAC,Manufacturing,Premium,66,33730,47520,Reference sample
ACC_0016,BizCorp_0016,2026-04-01,52,12026,9943,APAC,Manufacturing,Premium,66,33730,47520,Reference sample
ACC_0016,BizCorp_0016,2026-05-01,47,11703,9376,APAC,Manufacturing,Premium,66,33730,47520,Reference sample
ACC_0016,BizCorp_0016,2026-06-01,25,6392,5134,APAC,Manufacturing,Premium,66,33730,47520,Reference sample
ACC_0016,BizCorp_0016,2026-07-01,12,2932,2567,APAC,Manufacturing,Premium,66,33730,47520,Reference sample
ACC_0016,BizCorp_0016,2026-08-01,6,1643,1283,APAC,Manufacturing,Premium,66,33730,47520,Reference sample
ACC_0017,BizCorp_0017,2026-03-01,222,176240,155104,AMER,Retail,Enterprise,450,439757,243000,Reference sample
ACC_0017,BizCorp_0017,2026-04-01,221,239839,188809,AMER,Retail,Enterprise,450,439757,243000,Reference sample
ACC_0017,BizCorp_0017,2026-05-01,227,233785,196087,AMER,Retail,Enterprise,450,439757,243000,Reference sample
ACC_0017,BizCorp_0017,2026-06-01,211,178199,160039,AMER,Retail,Enterprise,450,439757,243000,Reference sample
ACC_0017,BizCorp_0017,2026-07-01,192,218318,182321,AMER,Retail,Enterprise,450,439757,243000,Reference sample
ACC_0017,BizCorp_0017,2026-08-01,201,186779,151718,AMER,Retail,Enterprise,450,439757,243000,Reference sample
ACC_0018,BizCorp_0018,2026-03-01,90,144654,124096,APAC,Technology,Enterprise,188,380043,101520,Reference sample
ACC_0018,BizCorp_0018,2026-04-01,99,149061,131857,APAC,Technology,Enterprise,188,380043,101520,Reference sample
ACC_0018,BizCorp_0018,2026-05-01,97,175842,136129,APAC,Technology,Enterprise,188,380043,101520,Reference sample
ACC_0018,BizCorp_0018,2026-06-01,90,147890,117641,APAC,Technology,Enterprise,188,380043,101520,Reference sample
ACC_0018,BizCorp_0018,2026-07-01,100,150066,129890,APAC,Technology,Enterprise,188,380043,101520,Reference sample
ACC_0018,BizCorp_0018,2026-08-01,93,153182,131339,APAC,Technology,Enterprise,188,380043,101520,Reference sample
ACC_0019,BizCorp_0019,2026-03-01,10,5733,5051,EMEA,Logistics,Standard,19,11216,18240,Reference sample
ACC_0019,BizCorp_0019,2026-04-01,11,6974,5484,EMEA,Logistics,Standard,19,11216,18240,Reference sample
ACC_0019,BizCorp_0019,2026-05-01,10,5798,5031,EMEA,Logistics,Standard,19,11216,18240,Reference sample
ACC_0019,BizCorp_0019,2026-06-01,13,7624,5969,EMEA,Logistics,Standard,19,11216,18240,Reference sample
ACC_0019,BizCorp_0019,2026-07-01,16,7987,7162,EMEA,Logistics,Standard,19,11216,18240,Reference sample
ACC_0019,BizCorp_0019,2026-08-01,19,9584,8595,EMEA,Logistics,Standard,19,11216,18240,Reference sample
ACC_0020,BizCorp_0020,2026-03-01,303,152607,121712,APAC,Manufacturing,Enterprise,386,215141,208440,Reference sample
ACC_0020,BizCorp_0020,2026-04-01,269,117942,102370,APAC,Manufacturing,Enterprise,386,215141,208440,Reference sample
ACC_0020,BizCorp_0020,2026-05-01,308,148079,120313,APAC,Manufacturing,Enterprise,386,215141,208440,Reference sample
ACC_0020,BizCorp_0020,2026-06-01,265,147083,115063,APAC,Manufacturing,Enterprise,386,215141,208440,Reference sample
ACC_0020,BizCorp_0020,2026-07-01,290,148325,131637,APAC,Manufacturing,Enterprise,386,215141,208440,Reference sample
ACC_0020,BizCorp_0020,2026-08-01,285,122312,104293,APAC,Manufacturing,Enterprise,386,215141,208440,Reference sample
ACC_0021,BizCorp_0021,2026-03-01,8,4138,3652,EMEA,Healthcare,Standard,12,5525,11520,Reference sample
ACC_0021,BizCorp_0021,2026-04-01,8,3945,3474,EMEA,Healthcare,Standard,12,5525,11520,Reference sample
ACC_0021,BizCorp_0021,2026-05-01,8,4786,3700,EMEA,Healthcare,Standard,12,5525,11520,Reference sample
ACC_0021,BizCorp_0021,2026-06-01,8,4117,3514,EMEA,Healthcare,Standard,12,5525,11520,Reference sample
ACC_0021,BizCorp_0021,2026-07-01,7,3914,3518,EMEA,Healthcare,Standard,12,5525,11520,Reference sample
ACC_0021,BizCorp_0021,2026-08-01,7,3477,3047,EMEA,Healthcare,Standard,12,5525,11520,Reference sample
ACC_0022,BizCorp_0022,2026-03-01,17,23920,19452,APAC,Logistics,Premium,29,33826,20880,Reference sample
ACC_0022,BizCorp_0022,2026-04-01,14,31573,25738,APAC,Logistics,Premium,29,33826,20880,Reference sample
ACC_0022,BizCorp_0022,2026-05-01,15,29426,24205,APAC,Logistics,Premium,29,33826,20880,Reference sample
ACC_0022,BizCorp_0022,2026-06-01,8,13697,11283,APAC,Logistics,Premium,29,33826,20880,Reference sample
ACC_0022,BizCorp_0022,2026-07-01,4,6630,5641,APAC,Logistics,Premium,29,33826,20880,Reference sample
ACC_0022,BizCorp_0022,2026-08-01,2,3315,2820,APAC,Logistics,Premium,29,33826,20880,Reference sample
ACC_0023,BizCorp_0023,2026-03-01,31,33363,28502,EMEA,Healthcare,Premium,48,62954,34560,Reference sample
ACC_0023,BizCorp_0023,2026-04-01,31,33798,28250,EMEA,Healthcare,Premium,48,62954,34560,Reference sample
ACC_0023,BizCorp_0023,2026-05-01,29,32004,28378,EMEA,Healthcare,Premium,48,62954,34560,Reference sample
ACC_0023,BizCorp_0023,2026-06-01,27,30427,24764,EMEA,Healthcare,Premium,48,62954,34560,Reference sample
ACC_0023,BizCorp_0023,2026-07-01,27,30129,25698,EMEA,Healthcare,Premium,48,62954,34560,Reference sample
ACC_0023,BizCorp_0023,2026-08-01,30,28783,25115,EMEA,Healthcare,Premium,48,62954,34560,Reference sample
ACC_0024,BizCorp_0024,2026-03-01,229,89086,78681,EMEA,Technology,Enterprise,335,174905,180900,Reference sample
ACC_0024,BizCorp_0024,2026-04-01,245,81833,73815,EMEA,Technology,Enterprise,335,174905,180900,Reference sample
ACC_0024,BizCorp_0024,2026-05-01,233,94885,77400,EMEA,Technology,Enterprise,335,174905,180900,Reference sample
ACC_0024,BizCorp_0024,2026-06-01,115,47724,43079,EMEA,Technology,Enterprise,335,174905,180900,Reference sample
ACC_0024,BizCorp_0024,2026-07-01,57,26158,21539,EMEA,Technology,Enterprise,335,174905,180900,Reference sample
ACC_0024,BizCorp_0024,2026-08-01,28,11966,10769,EMEA,Technology,Enterprise,335,174905,180900,Reference sample
ACC_0025,BizCorp_0025,2026-03-01,9,10341,8425,EMEA,Retail,Standard,13,14577,12480,Reference sample
ACC_0025,BizCorp_0025,2026-04-01,10,9975,7890,EMEA,Retail,Standard,13,14577,12480,Reference sample
ACC_0025,BizCorp_0025,2026-05-01,10,8252,6757,EMEA,Retail,Standard,13,14577,12480,Reference sample
ACC_0025,BizCorp_0025,2026-06-01,4,4409,3692,EMEA,Retail,Standard,13,14577,12480,Reference sample
ACC_0025,BizCorp_0025,2026-07-01,2,2208,1846,EMEA,Retail,Standard,13,14577,12480,Reference sample
ACC_0025,BizCorp_0025,2026-08-01,1,1055,923,EMEA,Retail,Standard,13,14577,12480,Reference sample
ACC_0026,BizCorp_0026,2026-03-01,45,23665,19210,AMER,Retail,Premium,67,34373,48240,Reference sample
ACC_0026,BizCorp_0026,2026-04-01,40,26484,22665,AMER,Retail,Premium,67,34373,48240,Reference sample
ACC_0026,BizCorp_0026,2026-05-01,42,24998,21814,AMER,Retail,Premium,67,34373,48240,Reference sample
ACC_0026,BizCorp_0026,2026-06-01,51,29997,25484,AMER,Retail,Premium,67,34373,48240,Reference sample
ACC_0026,BizCorp_0026,2026-07-01,61,34303,30581,AMER,Retail,Premium,67,34373,48240,Reference sample
ACC_0026,BizCorp_0026,2026-08-01,67,41851,36697,AMER,Retail,Premium,67,34373,48240,Reference sample
ACC_0027,BizCorp_0027,2026-03-01,21,51532,42241,AMER,Financial Services,Premium,32,69530,23040,Reference sample
ACC_0027,BizCorp_0027,2026-04-01,25,47585,38054,AMER,Financial Services,Premium,32,69530,23040,Reference sample
ACC_0027,BizCorp_0027,2026-05-01,21,50578,39502,AMER,Financial Services,Premium,32,69530,23040,Reference sample
ACC_0027,BizCorp_0027,2026-06-01,28,54642,45239,AMER,Financial Services,Premium,32,69530,23040,Reference sample
ACC_0027,BizCorp_0027,2026-07-01,32,59728,54287,AMER,Financial Services,Premium,32,69530,23040,Reference sample
ACC_0027,BizCorp_0027,2026-08-01,32,83875,65144,AMER,Financial Services,Premium,32,69530,23040,Reference sample
ACC_0028,BizCorp_0028,2026-03-01,5,6172,5387,APAC,Financial Services,Standard,10,11916,9600,Reference sample
ACC_0028,BizCorp_0028,2026-04-01,6,6826,5804,APAC,Financial Services,Standard,10,11916,9600,Reference sample
ACC_0028,BizCorp_0028,2026-05-01,6,7170,5726,APAC,Financial Services,Standard,10,11916,9600,Reference sample
ACC_0028,BizCorp_0028,2026-06-01,7,7941,6408,APAC,Financial Services,Standard,10,11916,9600,Reference sample
ACC_0028,BizCorp_0028,2026-07-01,8,8608,7689,APAC,Financial Services,Standard,10,11916,9600,Reference sample
ACC_0028,BizCorp_0028,2026-08-01,10,10396,9227,APAC,Financial Services,Standard,10,11916,9600,Reference sample
ACC_0029,BizCorp_0029,2026-03-01,44,48794,40368,EMEA,Retail,Premium,69,59052,49680,Reference sample
ACC_0029,BizCorp_0029,2026-04-01,46,41701,33395,EMEA,Retail,Premium,69,59052,49680,Reference sample
ACC_0029,BizCorp_0029,2026-05-01,43,47528,39477,EMEA,Retail,Premium,69,59052,49680,Reference sample
ACC_0029,BizCorp_0029,2026-06-01,58,55289,47055,EMEA,Retail,Premium,69,59052,49680,Reference sample
ACC_0029,BizCorp_0029,2026-07-01,69,64432,56466,EMEA,Retail,Premium,69,59052,49680,Reference sample
ACC_0029,BizCorp_0029,2026-08-01,69,85434,67759,EMEA,Retail,Premium,69,59052,49680,Reference sample
ACC_0030,BizCorp_0030,2026-03-01,51,8839,6955,APAC,Logistics,Premium,91,20752,65520,Reference sample
ACC_0030,BizCorp_0030,2026-04-01,48,8324,7207,APAC,Logistics,Premium,91,20752,65520,Reference sample
ACC_0030,BizCorp_0030,2026-05-01,51,9560,8084,APAC,Logistics,Premium,91,20752,65520,Reference sample
ACC_0030,BizCorp_0030,2026-06-01,59,11325,9012,APAC,Logistics,Premium,91,20752,65520,Reference sample
ACC_0030,BizCorp_0030,2026-07-01,71,12938,10814,APAC,Logistics,Premium,91,20752,65520,Reference sample
ACC_0030,BizCorp_0030,2026-08-01,85,15235,12977,APAC,Logistics,Premium,91,20752,65520,Reference sample
ACC_0031,BizCorp_0031,2026-03-01,6,5916,4744,AMER,Manufacturing,Standard,13,10573,12480,Reference sample
ACC_0031,BizCorp_0031,2026-04-01,6,5850,4682,AMER,Manufacturing,Standard,13,10573,12480,Reference sample
ACC_0031,BizCorp_0031,2026-05-01,6,5362,4736,AMER,Manufacturing,Standard,13,10573,12480,Reference sample
ACC_0031,BizCorp_0031,2026-06-01,7,6128,5362,AMER,Manufacturing,Standard,13,10573,12480,Reference sample
ACC_0031,BizCorp_0031,2026-07-01,9,7594,6435,AMER,Manufacturing,Standard,13,10573,12480,Reference sample
ACC_0031,BizCorp_0031,2026-08-01,11,9016,7722,AMER,Manufacturing,Standard,13,10573,12480,Reference sample
ACC_0032,BizCorp_0032,2026-03-01,17,33787,29925,AMER,Logistics,Premium,41,49735,29520,Reference sample
ACC_0032,BizCorp_0032,2026-04-01,20,37221,33448,AMER,Logistics,Premium,41,49735,29520,Reference sample
ACC_0032,BizCorp_0032,2026-05-01,17,33018,29812,AMER,Logistics,Premium,41,49735,29520,Reference sample
ACC_0032,BizCorp_0032,2026-06-01,18,47769,39066,AMER,Logistics,Premium,41,49735,29520,Reference sample
ACC_0032,BizCorp_0032,2026-07-01,19,44237,36275,AMER,Logistics,Premium,41,49735,29520,Reference sample
ACC_0032,BizCorp_0032,2026-08-01,20,45912,37386,AMER,Logistics,Premium,41,49735,29520,Reference sample
ACC_0033,BizCorp_0033,2026-03-01,103,265732,233314,AMER,Retail,Enterprise,235,362451,126900,Reference sample
ACC_0033,BizCorp_0033,2026-04-01,100,288581,232785,AMER,Retail,Enterprise,235,362451,126900,Reference sample
ACC_0033,BizCorp_0033,2026-05-01,97,286148,244165,AMER,Retail,Enterprise,235,362451,126900,Reference sample
ACC_0033,BizCorp_0033,2026-06-01,114,342786,278461,AMER,Retail,Enterprise,235,362451,126900,Reference sample
ACC_0033,BizCorp_0033,2026-07-01,136,432771,334153,AMER,Retail,Enterprise,235,362451,126900,Reference sample
ACC_0033,BizCorp_0033,2026-08-01,164,448046,400984,AMER,Retail,Enterprise,235,362451,126900,Reference sample
ACC_0034,BizCorp_0034,2026-03-01,9,7253,6027,APAC,Technology,Standard,14,13317,13440,Reference sample
ACC_0034,BizCorp_0034,2026-04-01,10,5718,5115,APAC,Technology,Standard,14,13317,13440,Reference sample
ACC_0034,BizCorp_0034,2026-05-01,9,8284,6457,APAC,Technology,Standard,14,13317,13440,Reference sample
ACC_0034,BizCorp_0034,2026-06-01,4,3436,2938,APAC,Technology,Standard,14,13317,13440,Reference sample
ACC_0034,BizCorp_0034,2026-07-01,2,1898,1469,APAC,Technology,Standard,14,13317,13440,Reference sample
ACC_0034,BizCorp_0034,2026-08-01,1,847,734,APAC,Technology,Standard,14,13317,13440,Reference sample
ACC_0035,BizCorp_0035,2026-03-01,8,3825,3185,APAC,Retail,Standard,16,7646,15360,Reference sample
ACC_0035,BizCorp_0035,2026-04-01,9,4125,3532,APAC,Retail,Standard,16,7646,15360,Reference sample
ACC_0035,BizCorp_0035,2026-05-01,8,4079,3543,APAC,Retail,Standard,16,7646,15360,Reference sample
ACC_0035,BizCorp_0035,2026-06-01,9,4414,3839,APAC,Retail,Standard,16,7646,15360,Reference sample
ACC_0035,BizCorp_0035,2026-07-01,9,4067,3399,APAC,Retail,Standard,16,7646,15360,Reference sample
ACC_0035,BizCorp_0035,2026-08-01,8,4215,3359,APAC,Retail,Standard,16,7646,15360,Reference sample
ACC_0036,BizCorp_0036,2026-03-01,11,9148,7776,AMER,Financial Services,Standard,15,13005,14400,Reference sample
ACC_0036,BizCorp_0036,2026-04-01,12,9527,7682,AMER,Financial Services,Standard,15,13005,14400,Reference sample
ACC_0036,BizCorp_0036,2026-05-01,12,9558,8165,AMER,Financial Services,Standard,15,13005,14400,Reference sample
ACC_0036,BizCorp_0036,2026-06-01,13,12146,10062,AMER,Financial Services,Standard,15,13005,14400,Reference sample
ACC_0036,BizCorp_0036,2026-07-01,15,14974,12075,AMER,Financial Services,Standard,15,13005,14400,Reference sample
ACC_0036,BizCorp_0036,2026-08-01,15,16702,14490,AMER,Financial Services,Standard,15,13005,14400,Reference sample
ACC_0037,BizCorp_0037,2026-03-01,27,22818,17740,AMER,Technology,Premium,60,35692,43200,Reference sample
ACC_0037,BizCorp_0037,2026-04-01,26,24850,19432,AMER,Technology,Premium,60,35692,43200,Reference sample
ACC_0037,BizCorp_0037,2026-05-01,25,28506,23052,AMER,Technology,Premium,60,35692,43200,Reference sample
ACC_0037,BizCorp_0037,2026-06-01,13,13027,10162,AMER,Technology,Premium,60,35692,43200,Reference sample
ACC_0037,BizCorp_0037,2026-07-01,6,6096,5081,AMER,Technology,Premium,60,35692,43200,Reference sample
ACC_0037,BizCorp_0037,2026-08-01,3,2895,2540,AMER,Technology,Premium,60,35692,43200,Reference sample
ACC_0038,BizCorp_0038,2026-03-01,99,62768,51293,APAC,Healthcare,Enterprise,141,144907,76140,Reference sample
ACC_0038,BizCorp_0038,2026-04-01,98,62806,48913,APAC,Healthcare,Enterprise,141,144907,76140,Reference sample
ACC_0038,BizCorp_0038,2026-05-01,109,71135,58176,APAC,Healthcare,Enterprise,141,144907,76140,Reference sample
ACC_0038,BizCorp_0038,2026-06-01,111,62236,56147,APAC,Healthcare,Enterprise,141,144907,76140,Reference sample
ACC_0038,BizCorp_0038,2026-07-01,105,68869,57465,APAC,Healthcare,Enterprise,141,144907,76140,Reference sample
ACC_0038,BizCorp_0038,2026-08-01,115,79051,62062,APAC,Healthcare,Enterprise,141,144907,76140,Reference sample
ACC_0039,BizCorp_0039,2026-03-01,4,5212,4170,APAC,Healthcare,Standard,9,7103,8640,Reference sample
ACC_0039,BizCorp_0039,2026-04-01,3,5135,4335,APAC,Healthcare,Standard,9,7103,8640,Reference sample
ACC_0039,BizCorp_0039,2026-05-01,4,4325,3699,APAC,Healthcare,Standard,9,7103,8640,Reference sample
ACC_0039,BizCorp_0039,2026-06-01,5,6566,5162,APAC,Healthcare,Standard,9,7103,8640,Reference sample
ACC_0039,BizCorp_0039,2026-07-01,6,7775,6195,APAC,Healthcare,Standard,9,7103,8640,Reference sample
ACC_0039,BizCorp_0039,2026-08-01,7,8857,7434,APAC,Healthcare,Standard,9,7103,8640,Reference sample
ACC_0040,BizCorp_0040,2026-03-01,130,112759,98726,APAC,Retail,Enterprise,185,238966,99900,Reference sample
