account_id,usage_month,active_seats,total_api_calls,credits_consumed,account_name,global_region,industry_vertical,contract_tier,total_licensed_seats,monthly_credit_allowance
ACC_0006,2026-08,44,39668,31655,BizCorp_0006,EMEA,Technology,Enterprise,460,385706
ACC_0007,2026-03,57,16923,14661,BizCorp_0007,AMER,Technology,Premium,96,38231
ACC_0007,2026-04,60,17881,15857,BizCorp_0007,AMER,Technology,Premium,96,38231
ACC_0007,2026-05,59,20580,16580,BizCorp_0007,AMER,Technology,Premium,96,38231
ACC_0007,2026-06,74,20923,18802,BizCorp_0007,AMER,Technology,Premium,96,38231
ACC_0007,2026-07,89,26657,22562,BizCorp_0007,AMER,Technology,Premium,96,38231
ACC_0007,2026-08,96,32720,27075,BizCorp_0007,AMER,Technology,Premium,96,38231
ACC_0008,2026-03,131,245633,190530,BizCorp_0008,EMEA,Technology,Enterprise,317,278389
ACC_0008,2026-04,121,238643,196392,BizCorp_0008,EMEA,Technology,Enterprise,317,278389
ACC_0008,2026-05,134,231567,199675,BizCorp_0008,EMEA,Technology,Enterprise,317,278389
ACC_0008,2026-06,161,249165,211516,BizCorp_0008,EMEA,Technology,Enterprise,317,278389
ACC_0008,2026-07,193,324464,253819,BizCorp_0008,EMEA,Technology,Enterprise,317,278389
ACC_0008,2026-08,232,385951,304583,BizCorp_0008,EMEA,Technology,Enterprise,317,278389
ACC_0009,2026-03,8,3255,2639,BizCorp_0009,AMER,Healthcare,Standard,15,6674
ACC_0009,2026-04,9,3695,2914,BizCorp_0009,AMER,Healthcare,Standard,15,6674
ACC_0009,2026-05,9,3770,3124,BizCorp_0009,AMER,Healthcare,Standard,15,6674
ACC_0009,2026-06,9,3458,2806,BizCorp_0009,AMER,Healthcare,Standard,15,6674
ACC_0009,2026-07,8,3402,2672,BizCorp_0009,AMER,Healthcare,Standard,15,6674
ACC_0009,2026-08,8,2953,2534,BizCorp_0009,AMER,Healthcare,Standard,15,6674
ACC_0010,2026-03,8,8755,6914,BizCorp_0010,APAC,Manufacturing,Standard,16,10635
ACC_0010,2026-04,8,6205,5622,BizCorp_0010,APAC,Manufacturing,Standard,16,10635
ACC_0010,2026-05,8,8648,7392,BizCorp_0010,APAC,Manufacturing,Standard,16,10635
ACC_0010,2026-06,10,9488,7714,BizCorp_0010,APAC,Manufacturing,Standard,16,10635
ACC_0010,2026-07,12,11629,9257,BizCorp_0010,APAC,Manufacturing,Standard,16,10635
ACC_0010,2026-08,14,13666,11108,BizCorp_0010,APAC,Manufacturing,Standard,16,10635
ACC_0011,2026-03,13,5275,4688,BizCorp_0011,AMER,Healthcare,Standard,19,13785
ACC_0011,2026-04,15,6101,5335,BizCorp_0011,AMER,Healthcare,Standard,19,13785
ACC_0011,2026-05,15,6408,5653,BizCorp_0011,AMER,Healthcare,Standard,19,13785
ACC_0011,2026-06,15,6315,5624,BizCorp_0011,AMER,Healthcare,Standard,19,13785
ACC_0011,2026-07,15,6689,5964,BizCorp_0011,AMER,Healthcare,Standard,19,13785
ACC_0011,2026-08,13,6101,4939,BizCorp_0011,AMER,Healthcare,Standard,19,13785
ACC_0012,2026-03,7,8293,6768,BizCorp_0012,APAC,Technology,Standard,14,10925
ACC_0012,2026-04,7,8795,6925,BizCorp_0012,APAC,Technology,Standard,14,10925
ACC_0012,2026-05,7,7357,5674,BizCorp_0012,APAC,Technology,Standard,14,10925
ACC_0012,2026-06,9,9652,7682,BizCorp_0012,APAC,Technology,Standard,14,10925
ACC_0012,2026-07,11,10781,9219,BizCorp_0012,APAC,Technology,Standard,14,10925
ACC_0012,2026-08,13,13115,11062,BizCorp_0012,APAC,Technology,Standard,14,10925
ACC_0013,2026-03,52,81070,67669,BizCorp_0013,APAC,Technology,Enterprise,136,124025
ACC_0013,2026-04,57,84963,66465,BizCorp_0013,APAC,Technology,Enterprise,136,124025
ACC_0013,2026-05,57,70513,62114,BizCorp_0013,APAC,Technology,Enterprise,136,124025
ACC_0013,2026-06,29,41749,34666,BizCorp_0013,APAC,Technology,Enterprise,136,124025
ACC_0013,2026-07,14,21321,17333,BizCorp_0013,APAC,Technology,Enterprise,136,124025
ACC_0013,2026-08,7,10600,8666,BizCorp_0013,APAC,Technology,Enterprise,136,124025
ACC_0014,2026-03,18,24173,21037,BizCorp_0014,AMER,Healthcare,Premium,31,35256
ACC_0014,2026-04,19,24692,20747,BizCorp_0014,AMER,Healthcare,Premium,31,35256
ACC_0014,2026-05,19,27987,22687,BizCorp_0014,AMER,Healthcare,Premium,31,35256
ACC_0014,2026-06,21,31125,26665,BizCorp_0014,AMER,Healthcare,Premium,31,35256
ACC_0014,2026-07,26,38362,31999,BizCorp_0014,AMER,Healthcare,Premium,31,35256
ACC_0014,2026-08,31,44733,38398,BizCorp_0014,AMER,Healthcare,Premium,31,35256
ACC_0015,2026-03,37,52748,42531,BizCorp_0015,EMEA,Technology,Premium,79,61660
ACC_0015,2026-04,36,41996,32565,BizCorp_0015,EMEA,Technology,Premium,79,61660
ACC_0015,2026-05,35,48742,40696,BizCorp_0015,EMEA,Technology,Premium,79,61660
ACC_0015,2026-06,45,57337,45810,BizCorp_0015,EMEA,Technology,Premium,79,61660
ACC_0015,2026-07,55,68063,54973,BizCorp_0015,EMEA,Technology,Premium,79,61660
ACC_0015,2026-08,66,81085,65967,BizCorp_0015,EMEA,Technology,Premium,79,61660
ACC_0016,2026-03,36,11548,10054,BizCorp_0016,APAC,Manufacturing,Premium,66,33730
ACC_0016,2026-04,39,12039,9944,BizCorp_0016,APAC,Manufacturing,Premium,66,33730
ACC_0016,2026-05,37,14391,11893,BizCorp_0016,APAC,Manufacturing,Premium,66,33730
ACC_0016,2026-06,45,14537,12421,BizCorp_0016,APAC,Manufacturing,Premium,66,33730
ACC_0016,2026-07,55,17749,14906,BizCorp_0016,APAC,Manufacturing,Premium,66,33730
ACC_0016,2026-08,66,20772,17887,BizCorp_0016,APAC,Manufacturing,Premium,66,33730
ACC_0017,2026-03,186,209892,167587,BizCorp_0017,AMER,Retail,Enterprise,450,439757
ACC_0017,2026-04,189,181554,151695,BizCorp_0017,AMER,Retail,Enterprise,450,439757
ACC_0017,2026-05,210,228345,189510,BizCorp_0017,AMER,Retail,Enterprise,450,439757
ACC_0017,2026-06,192,166190,145932,BizCorp_0017,AMER,Retail,Enterprise,450,439757
ACC_0017,2026-07,190,165267,149858,BizCorp_0017,AMER,Retail,Enterprise,450,439757
ACC_0017,2026-08,203,200155,154577,BizCorp_0017,AMER,Retail,Enterprise,450,439757
ACC_0018,2026-03,137,169316,132845,BizCorp_0018,APAC,Technology,Enterprise,188,380043
ACC_0018,2026-04,129,156811,131986,BizCorp_0018,APAC,Technology,Enterprise,188,380043
ACC_0018,2026-05,119,148506,115281,BizCorp_0018,APAC,Technology,Enterprise,188,380043
ACC_0018,2026-06,63,79628,66604,BizCorp_0018,APAC,Technology,Enterprise,188,380043
ACC_0018,2026-07,31,42107,33302,BizCorp_0018,APAC,Technology,Enterprise,188,380043
ACC_0018,2026-08,15,19650,16651,BizCorp_0018,APAC,Technology,Enterprise,188,380043
ACC_0019,2026-03,11,9088,7046,BizCorp_0019,EMEA,Logistics,Standard,19,11216
ACC_0019,2026-04,10,7217,5957,BizCorp_0019,EMEA,Logistics,Standard,19,11216
ACC_0019,2026-05,11,8113,6630,BizCorp_0019,EMEA,Logistics,Standard,19,11216
ACC_0019,2026-06,12,7963,6213,BizCorp_0019,EMEA,Logistics,Standard,19,11216
ACC_0019,2026-07,11,7843,6615,BizCorp_0019,EMEA,Logistics,Standard,19,11216
ACC_0019,2026-08,12,7227,5594,BizCorp_0019,EMEA,Logistics,Standard,19,11216
ACC_0020,2026-03,283,97742,86390,BizCorp_0020,APAC,Manufacturing,Enterprise,386,215141
ACC_0020,2026-04,281,79146,71916,BizCorp_0020,APAC,Manufacturing,Enterprise,386,215141
ACC_0020,2026-05,297,98153,84743,BizCorp_0020,APAC,Manufacturing,Enterprise,386,215141
ACC_0020,2026-06,284,108603,87541,BizCorp_0020,APAC,Manufacturing,Enterprise,386,215141
ACC_0020,2026-07,297,111849,87057,BizCorp_0020,APAC,Manufacturing,Enterprise,386,215141
ACC_0020,2026-08,318,105375,85516,BizCorp_0020,APAC,Manufacturing,Enterprise,386,215141
ACC_0021,2026-03,7,4062,3211,BizCorp_0021,EMEA,Healthcare,Standard,12,5525
ACC_0021,2026-04,6,2989,2574,BizCorp_0021,EMEA,Healthcare,Standard,12,5525
ACC_0021,2026-05,7,3380,2920,BizCorp_0021,EMEA,Healthcare,Standard,12,5525
ACC_0021,2026-06,6,3747,3022,BizCorp_0021,EMEA,Healthcare,Standard,12,5525
ACC_0021,2026-07,7,3429,2861,BizCorp_0021,EMEA,Healthcare,Standard,12,5525
ACC_0021,2026-08,6,2925,2466,BizCorp_0021,EMEA,Healthcare,Standard,12,5525
ACC_0022,2026-03,17,14051,11046,BizCorp_0022,APAC,Logistics,Premium,29,33826
ACC_0022,2026-04,18,11261,8988,BizCorp_0022,APAC,Logistics,Premium,29,33826
ACC_0022,2026-05,19,13449,10737,BizCorp_0022,APAC,Logistics,Premium,29,33826
ACC_0022,2026-06,9,5956,5248,BizCorp_0022,APAC,Logistics,Premium,29,33826
ACC_0022,2026-07,4,3158,2624,BizCorp_0022,APAC,Logistics,Premium,29,33826
ACC_0022,2026-08,2,1559,1312,BizCorp_0022,APAC,Logistics,Premium,29,33826
ACC_0023,2026-03,23,37508,33542,BizCorp_0023,EMEA,Healthcare,Premium,48,62954
ACC_0023,2026-04,21,39419,31944,BizCorp_0023,EMEA,Healthcare,Premium,48,62954
ACC_0023,2026-05,24,39525,31908,BizCorp_0023,EMEA,Healthcare,Premium,48,62954
ACC_0023,2026-06,11,19462,16812,BizCorp_0023,EMEA,Healthcare,Premium,48,62954
ACC_0023,2026-07,5,10835,8406,BizCorp_0023,EMEA,Healthcare,Premium,48,62954
ACC_0023,2026-08,2,5307,4203,BizCorp_0023,EMEA,Healthcare,Premium,48,62954
ACC_0024,2026-03,188,100347,84980,BizCorp_0024,EMEA,Technology,Enterprise,335,174905
ACC_0024,2026-04,195,105149,85381,BizCorp_0024,EMEA,Technology,Enterprise,335,174905
ACC_0024,2026-05,196,82512,72537,BizCorp_0024,EMEA,Technology,Enterprise,335,174905
ACC_0024,2026-06,189,98257,80205,BizCorp_0024,EMEA,Technology,Enterprise,335,174905
ACC_0024,2026-07,205,82090,67852,BizCorp_0024,EMEA,Technology,Enterprise,335,174905
ACC_0024,2026-08,211,90609,73093,BizCorp_0024,EMEA,Technology,Enterprise,335,174905
ACC_0025,2026-03,5,9939,8553,BizCorp_0025,EMEA,Retail,Standard,13,14577
ACC_0025,2026-04,4,8958,7824,BizCorp_0025,EMEA,Retail,Standard,13,14577
ACC_0025,2026-05,5,9171,7113,BizCorp_0025,EMEA,Retail,Standard,13,14577
ACC_0025,2026-06,5,9277,7211,BizCorp_0025,EMEA,Retail,Standard,13,14577
ACC_0025,2026-07,5,10106,8542,BizCorp_0025,EMEA,Retail,Standard,13,14577
ACC_0025,2026-08,5,9505,7979,BizCorp_0025,EMEA,Retail,Standard,13,14577
ACC_0026,2026-03,37,32586,25602,BizCorp_0026,AMER,Retail,Premium,67,34373
ACC_0026,2026-04,35,29558,24986,BizCorp_0026,AMER,Retail,Premium,67,34373
ACC_0026,2026-05,40,29125,23040,BizCorp_0026,AMER,Retail,Premium,67,34373
ACC_0026,2026-06,35,26291,21597,BizCorp_0026,AMER,Retail,Premium,67,34373
ACC_0026,2026-07,40,25887,22915,BizCorp_0026,AMER,Retail,Premium,67,34373
ACC_0026,2026-08,37,26529,21918,BizCorp_0026,AMER,Retail,Premium,67,34373
ACC_0027,2026-03,17,38342,31574,BizCorp_0027,AMER,Financial Services,Premium,32,69530
ACC_0027,2026-04,17,35780,32272,BizCorp_0027,AMER,Financial Services,Premium,32,69530
ACC_0027,2026-05,19,39942,31643,BizCorp_0027,AMER,Financial Services,Premium,32,69530
ACC_0027,2026-06,22,42107,35769,BizCorp_0027,AMER,Financial Services,Premium,32,69530
ACC_0027,2026-07,26,52912,42923,BizCorp_0027,AMER,Financial Services,Premium,32,69530
ACC_0027,2026-08,32,65113,51508,BizCorp_0027,AMER,Financial Services,Premium,32,69530
ACC_0028,2026-03,5,4907,3852,BizCorp_0028,APAC,Financial Services,Standard,10,11916
ACC_0028,2026-04,6,4439,3684,BizCorp_0028,APAC,Financial Services,Standard,10,11916
ACC_0028,2026-05,5,4729,4001,BizCorp_0028,APAC,Financial Services,Standard,10,11916
ACC_0028,2026-06,6,4013,3362,BizCorp_0028,APAC,Financial Services,Standard,10,11916
ACC_0028,2026-07,6,4420,3569,BizCorp_0028,APAC,Financial Services,Standard,10,11916
ACC_0028,2026-08,6,5268,4147,BizCorp_0028,APAC,Financial Services,Standard,10,11916
ACC_0029,2026-03,58,39149,32403,BizCorp_0029,EMEA,Retail,Premium,69,59052
ACC_0029,2026-04,55,37023,29933,BizCorp_0029,EMEA,Retail,Premium,69,59052
ACC_0029,2026-05,51,33387,29862,BizCorp_0029,EMEA,Retail,Premium,69,59052
ACC_0029,2026-06,64,50563,39025,BizCorp_0029,EMEA,Retail,Premium,69,59052
ACC_0029,2026-07,69,58634,46830,BizCorp_0029,EMEA,Retail,Premium,69,59052
ACC_0029,2026-08,69,69726,56196,BizCorp_0029,EMEA,Retail,Premium,69,59052
ACC_0030,2026-03,56,13036,10353,BizCorp_0030,APAC,Logistics,Premium,91,20752
ACC_0030,2026-04,50,13025,11536,BizCorp_0030,APAC,Logistics,Premium,91,20752
ACC_0030,2026-05,52,15382,12223,BizCorp_0030,APAC,Logistics,Premium,91,20752
ACC_0030,2026-06,49,13343,10472,BizCorp_0030,APAC,Logistics,Premium,91,20752
ACC_0030,2026-07,53,14177,11054,BizCorp_0030,APAC,Logistics,Premium,91,20752
ACC_0030,2026-08,48,13632,11846,BizCorp_0030,APAC,Logistics,Premium,91,20752
ACC_0031,2026-03,8,7895,6529,BizCorp_0031,AMER,Manufacturing,Standard,13,10573
ACC_0031,2026-04,7,10256,7905,BizCorp_0031,AMER,Manufacturing,Standard,13,10573
ACC_0031,2026-05,8,9830,7940,BizCorp_0031,AMER,Manufacturing,Standard,13,10573
ACC_0031,2026-06,4,4153,3486,BizCorp_0031,AMER,Manufacturing,Standard,13,10573
ACC_0031,2026-07,2,2022,1743,BizCorp_0031,AMER,Manufacturing,Standard,13,10573
ACC_0031,2026-08,1,1132,871,BizCorp_0031,AMER,Manufacturing,Standard,13,10573
ACC_0032,2026-03,17,26196,21129,BizCorp_0032,AMER,Logistics,Premium,41,49735
ACC_0032,2026-04,16,29166,24735,BizCorp_0032,AMER,Logistics,Premium,41,49735
ACC_0032,2026-05,16,31356,24972,BizCorp_0032,AMER,Logistics,Premium,41,49735
ACC_0032,2026-06,21,34967,27008,BizCorp_0032,AMER,Logistics,Premium,41,49735
ACC_0032,2026-07,26,41553,32410,BizCorp_0032,AMER,Logistics,Premium,41,49735
ACC_0032,2026-08,31,48577,38892,BizCorp_0032,AMER,Logistics,Premium,41,49735
ACC_0033,2026-03,176,148078,130119,BizCorp_0033,AMER,Retail,Enterprise,235,362451
ACC_0033,2026-04,158,191775,152993,BizCorp_0033,AMER,Retail,Enterprise,235,362451
ACC_0033,2026-05,172,141735,126614,BizCorp_0033,AMER,Retail,Enterprise,235,362451
ACC_0033,2026-06,83,87068,71048,BizCorp_0033,AMER,Retail,Enterprise,235,362451
ACC_0033,2026-07,41,39356,35524,BizCorp_0033,AMER,Retail,Enterprise,235,362451
ACC_0033,2026-08,20,22339,17762,BizCorp_0033,AMER,Retail,Enterprise,235,362451
ACC_0034,2026-03,8,9258,7410,BizCorp_0034,APAC,Technology,Standard,14,13317
ACC_0034,2026-04,8,8484,7024,BizCorp_0034,APAC,Technology,Standard,14,13317
ACC_0034,2026-05,9,10221,7969,BizCorp_0034,APAC,Technology,Standard,14,13317
ACC_0034,2026-06,9,9259,7320,BizCorp_0034,APAC,Technology,Standard,14,13317
ACC_0034,2026-07,8,10771,8622,BizCorp_0034,APAC,Technology,Standard,14,13317
ACC_0034,2026-08,8,9027,6984,BizCorp_0034,APAC,Technology,Standard,14,13317
ACC_0035,2026-03,11,3702,3139,BizCorp_0035,APAC,Retail,Standard,16,7646
ACC_0035,2026-04,12,3393,3035,BizCorp_0035,APAC,Retail,Standard,16,7646
ACC_0035,2026-05,10,3117,2772,BizCorp_0035,APAC,Retail,Standard,16,7646
ACC_0035,2026-06,10,3694,3206,BizCorp_0035,APAC,Retail,Standard,16,7646
ACC_0035,2026-07,10,3648,3107,BizCorp_0035,APAC,Retail,Standard,16,7646
ACC_0035,2026-08,11,3620,2958,BizCorp_0035,APAC,Retail,Standard,16,7646
ACC_0036,2026-03,10,7105,5543,BizCorp_0036,AMER,Financial Services,Standard,15,13005
ACC_0036,2026-04,11,5542,4914,BizCorp_0036,AMER,Financial Services,Standard,15,13005
ACC_0036,2026-05,12,5700,4756,BizCorp_0036,AMER,Financial Services,Standard,15,13005
ACC_0036,2026-06,5,2827,2526,BizCorp_0036,AMER,Financial Services,Standard,15,13005
ACC_0036,2026-07,2,1613,1263,BizCorp_0036,AMER,Financial Services,Standard,15,13005
ACC_0036,2026-08,1,711,631,BizCorp_0036,AMER,Financial Services,Standard,15,13005
ACC_0037,2026-03,34,29893,24554,BizCorp_0037,AMER,Technology,Premium,60,35692
ACC_0037,2026-04,34,33317,27066,BizCorp_0037,AMER,Technology,Premium,60,35692
ACC_0037,2026-05,35,32327,25103,BizCorp_0037,AMER,Technology,Premium,60,35692
ACC_0037,2026-06,39,33654,29114,BizCorp_0037,AMER,Technology,Premium,60,35692
ACC_0037,2026-07,47,43252,34936,BizCorp_0037,AMER,Technology,Premium,60,35692
ACC_0037,2026-08,56,47938,41924,BizCorp_0037,AMER,Technology,Premium,60,35692
ACC_0038,2026-03,101,118761,98240,BizCorp_0038,APAC,Healthcare,Enterprise,141,144907
ACC_0038,2026-04,120,105116,89110,BizCorp_0038,APAC,Healthcare,Enterprise,141,144907
ACC_0038,2026-05,103,104752,82508,BizCorp_0038,APAC,Healthcare,Enterprise,141,144907
ACC_0038,2026-06,132,132989,111667,BizCorp_0038,APAC,Healthcare,Enterprise,141,144907
ACC_0038,2026-07,141,165163,134001,BizCorp_0038,APAC,Healthcare,Enterprise,141,144907
ACC_0038,2026-08,141,197518,160801,BizCorp_0038,APAC,Healthcare,Enterprise,141,144907
ACC_0039,2026-03,4,3814,3343,BizCorp_0039,APAC,Healthcare,Standard,9,7103
ACC_0039,2026-04,4,3807,3128,BizCorp_0039,APAC,Healthcare,Standard,9,7103
ACC_0039,2026-05,4,3552,2831,BizCorp_0039,APAC,Healthcare,Standard,9,7103
ACC_0039,2026-06,4,3659,3167,BizCorp_0039,APAC,Healthcare,Standard,9,7103
ACC_0039,2026-07,4,4261,3528,BizCorp_0039,APAC,Healthcare,Standard,9,7103
ACC_0039,2026-08,4,3460,2718,BizCorp_0039,APAC,Healthcare,Standard,9,7103
ACC_0040,2026-03,71,158219,139419,BizCorp_0040,APAC,Retail,Enterprise,185,238966
ACC_0040,2026-04,68,190273,157875,BizCorp_0040,APAC,Retail,Enterprise,185,238966
ACC_0040,2026-05,78,183508,146152,BizCorp_0040,APAC,Retail,Enterprise,185,238966
ACC_0040,2026-06,75,156024,129937,BizCorp_0040,APAC,Retail,Enterprise,185,238966
ACC_0040,2026-07,81,159639,127036,BizCorp_0040,APAC,Retail,Enterprise,185,238966
ACC_0040,2026-08,80,176534,148148,BizCorp_0040,APAC,Retail,Enterprise,185,238966
ACC_0041,2026-03,19,34414,28725,BizCorp_0041,APAC,Logistics,Premium,48,55343
ACC_0041,2026-04,22,26480,23725,BizCorp_0041,APAC,Logistics,Premium,48,55343
ACC_0041,2026-05,20,27328,23661,BizCorp_0041,APAC,Logistics,Premium,48,55343
ACC_0041,2026-06,20,32155,27600,BizCorp_0041,APAC,Logistics,Premium,48,55343
ACC_0041,2026-07,22,32691,27455,BizCorp_0041,APAC,Logistics,Premium,48,55343
ACC_0041,2026-08,20,29686,23934,BizCorp_0041,APAC,Logistics,Premium,48,55343
ACC_0042,2026-03,7,9793,8301,BizCorp_0042,APAC,Logistics,Standard,14,11537
ACC_0042,2026-04,8,8293,7134,BizCorp_0042,APAC,Logistics,Standard,14,11537
ACC_0042,2026-05,7,10626,8588,BizCorp_0042,APAC,Logistics,Standard,14,11537
ACC_0042,2026-06,7,7408,6632,BizCorp_0042,APAC,Logistics,Standard,14,11537
ACC_0042,2026-07,7,9530,8114,BizCorp_0042,APAC,Logistics,Standard,14,11537
ACC_0042,2026-08,7,8472,6561,BizCorp_0042,APAC,Logistics,Standard,14,11537
ACC_0043,2026-03,55,33581,28349,BizCorp_0043,EMEA,Financial Services,Premium,77,53919
ACC_0043,2026-04,55,25078,21666,BizCorp_0043,EMEA,Financial Services,Premium,77,53919
ACC_0043,2026-05,49,26502,22058,BizCorp_0043,EMEA,Financial Services,Premium,77,53919
ACC_0043,2026-06,25,14156,12517,BizCorp_0043,EMEA,Financial Services,Premium,77,53919
ACC_0043,2026-07,12,7487,6258,BizCorp_0043,EMEA,Financial Services,Premium,77,53919
ACC_0043,2026-08,6,3972,3129,BizCorp_0043,EMEA,Financial Services,Premium,77,53919
ACC_0044,2026-03,9,3486,2764,BizCorp_0044,EMEA,Financial Services,Standard,12,6049
ACC_0044,2026-04,9,3903,3089,BizCorp_0044,EMEA,Financial Services,Standard,12,6049
ACC_0044,2026-05,9,3115,2819,BizCorp_0044,EMEA,Financial Services,Standard,12,6049
ACC_0044,2026-06,4,1738,1352,BizCorp_0044,EMEA,Financial Services,Standard,12,6049
ACC_0044,2026-07,2,855,676,BizCorp_0044,EMEA,Financial Services,Standard,12,6049
ACC_0044,2026-08,1,389,338,BizCorp_0044,EMEA,Financial Services,Standard,12,6049
ACC_0045,2026-03,212,144895,127517,BizCorp_0045,APAC,Technology,Enterprise,384,220646
ACC_0045,2026-04,181,155706,139783,BizCorp_0045,APAC,Technology,Enterprise,384,220646
ACC_0045,2026-05,204,170409,152376,BizCorp_0045,APAC,Technology,Enterprise,384,220646
ACC_0045,2026-06,196,153038,128525,BizCorp_0045,APAC,Technology,Enterprise,384,220646
ACC_0045,2026-07,182,146703,125939,BizCorp_0045,APAC,Technology,Enterprise,384,220646
ACC_0045,2026-08,212,175332,137336,BizCorp_0045,APAC,Technology,Enterprise,384,220646
ACC_0046,2026-03,3,3746,3040,BizCorp_0046,AMER,Financial Services,Standard,7,5964
ACC_0046,2026-04,3,3701,3206,BizCorp_0046,AMER,Financial Services,Standard,7,5964
ACC_0046,2026-05,3,3421,2885,BizCorp_0046,AMER,Financial Services,Standard,7,5964
ACC_0046,2026-06,3,4115,3437,BizCorp_0046,AMER,Financial Services,Standard,7,5964
ACC_0046,2026-07,3,3322,2818,BizCorp_0046,AMER,Financial Services,Standard,7,5964
ACC_0046,2026-08,3,3226,2781,BizCorp_0046,AMER,Financial Services,Standard,7,5964
ACC_0047,2026-03,10,3964,3305,BizCorp_0047,APAC,Technology,Standard,15,6160
ACC_0047,2026-04,10,3999,3315,BizCorp_0047,APAC,Technology,Standard,15,6160
ACC_0047,2026-05,10,4682,3796,BizCorp_0047,APAC,Technology,Standard,15,6160
ACC_0047,2026-06,10,4512,3615,BizCorp_0047,APAC,Technology,Standard,15,6160
ACC_0047,2026-07,10,4110,3685,BizCorp_0047,APAC,Technology,Standard,15,6160
ACC_0047,2026-08,10,4311,3651,BizCorp_0047,APAC,Technology,Standard,15,6160
ACC_0048,2026-03,46,18282,14178,BizCorp_0048,APAC,Technology,Premium,83,34040
ACC_0048,2026-04,42,19485,16621,BizCorp_0048,APAC,Technology,Premium,83,34040
ACC_0048,2026-05,42,16462,13867,BizCorp_0048,APAC,Technology,Premium,83,34040
ACC_0048,2026-06,51,22270,18872,BizCorp_0048,APAC,Technology,Premium,83,34040
ACC_0048,2026-07,61,25266,22646,BizCorp_0048,APAC,Technology,Premium,83,34040
ACC_0048,2026-08,73,34625,27176,BizCorp_0048,APAC,Technology,Premium,83,34040
ACC_0049,2026-03,175,308493,255773,BizCorp_0049,EMEA,Technology,Enterprise,393,402100
ACC_0049,2026-04,180,311657,266324,BizCorp_0049,EMEA,Technology,Enterprise,393,402100
