account_id,usage_month,active_seats,total_api_calls,credits_consumed
ACC_0021,2026-04,8,3945,3474
ACC_0021,2026-05,8,4786,3700
ACC_0021,2026-06,8,4117,3514
ACC_0021,2026-07,7,3914,3518
ACC_0021,2026-08,7,3477,3047
ACC_0022,2026-03,17,23920,19452
ACC_0022,2026-04,14,31573,25738
ACC_0022,2026-05,15,29426,24205
ACC_0022,2026-06,8,13697,11283
ACC_0022,2026-07,4,6630,5641
ACC_0022,2026-08,2,3315,2820
ACC_0023,2026-03,31,33363,28502
ACC_0023,2026-04,31,33798,28250
ACC_0023,2026-05,29,32004,28378
ACC_0023,2026-06,27,30427,24764
ACC_0023,2026-07,27,30129,25698
ACC_0023,2026-08,30,28783,25115
ACC_0024,2026-03,229,89086,78681
ACC_0024,2026-04,245,81833,73815
ACC_0024,2026-05,233,94885,77400
ACC_0024,2026-06,115,47724,43079
ACC_0024,2026-07,57,26158,21539
ACC_0024,2026-08,28,11966,10769
ACC_0025,2026-03,9,10341,8425
ACC_0025,2026-04,10,9975,7890
ACC_0025,2026-05,10,8252,6757
ACC_0025,2026-06,4,4409,3692
ACC_0025,2026-07,2,2208,1846
ACC_0025,2026-08,1,1055,923
ACC_0026,2026-03,45,23665,19210
ACC_0026,2026-04,40,26484,22665
ACC_0026,2026-05,42,24998,21814
ACC_0026,2026-06,51,29997,25484
ACC_0026,2026-07,61,34303,30581
ACC_0026,2026-08,67,41851,36697
ACC_0027,2026-03,21,51532,42241
ACC_0027,2026-04,25,47585,38054
ACC_0027,2026-05,21,50578,39502
ACC_0027,2026-06,28,54642,45239
ACC_0027,2026-07,32,59728,54287
ACC_0027,2026-08,32,83875,65144
ACC_0028,2026-03,5,6172,5387
ACC_0028,2026-04,6,6826,5804
ACC_0028,2026-05,6,7170,5726
ACC_0028,2026-06,7,7941,6408
ACC_0028,2026-07,8,8608,7689
ACC_0028,2026-08,10,10396,9227
ACC_0029,2026-03,44,48794,40368
ACC_0029,2026-04,46,41701,33395
ACC_0029,2026-05,43,47528,39477
ACC_0029,2026-06,58,55289,47055
ACC_0029,2026-07,69,64432,56466
ACC_0029,2026-08,69,85434,67759
ACC_0030,2026-03,51,8839,6955
ACC_0030,2026-04,48,8324,7207
ACC_0030,2026-05,51,9560,8084
ACC_0030,2026-06,59,11325,9012
ACC_0030,2026-07,71,12938,10814
ACC_0030,2026-08,85,15235,12977
ACC_0031,2026-03,6,5916,4744
ACC_0031,2026-04,6,5850,4682
ACC_0031,2026-05,6,5362,4736
ACC_0031,2026-06,7,6128,5362
ACC_0031,2026-07,9,7594,6435
ACC_0031,2026-08,11,9016,7722
ACC_0032,2026-03,17,33787,29925
ACC_0032,2026-04,20,37221,33448
ACC_0032,2026-05,17,33018,29812
ACC_0032,2026-06,18,47769,39066
ACC_0032,2026-07,19,44237,36275
ACC_0032,2026-08,20,45912,37386
ACC_0033,2026-03,103,265732,233314
ACC_0033,2026-04,100,288581,232785
ACC_0033,2026-05,97,286148,244165
ACC_0033,2026-06,114,342786,278461
ACC_0033,2026-07,136,432771,334153
ACC_0033,2026-08,164,448046,400984
ACC_0034,2026-03,9,7253,6027
ACC_0034,2026-04,10,5718,5115
ACC_0034,2026-05,9,8284,6457
ACC_0034,2026-06,4,3436,2938
ACC_0034,2026-07,2,1898,1469
ACC_0034,2026-08,1,847,734
ACC_0035,2026-03,8,3825,3185
ACC_0035,2026-04,9,4125,3532
ACC_0035,2026-05,8,4079,3543
ACC_0035,2026-06,9,4414,3839
ACC_0035,2026-07,9,4067,3399
ACC_0035,2026-08,8,4215,3359
ACC_0036,2026-03,11,9148,7776
ACC_0036,2026-04,12,9527,7682
ACC_0036,2026-05,12,9558,8165
ACC_0036,2026-06,13,12146,10062
ACC_0036,2026-07,15,14974,12075
ACC_0036,2026-08,15,16702,14490
ACC_0037,2026-03,27,22818,17740
ACC_0037,2026-04,26,24850,19432
ACC_0037,2026-05,25,28506,23052
ACC_0037,2026-06,13,13027,10162
ACC_0037,2026-07,6,6096,5081
ACC_0037,2026-08,3,2895,2540
ACC_0038,2026-03,99,62768,51293
ACC_0038,2026-04,98,62806,48913
ACC_0038,2026-05,109,71135,58176
ACC_0038,2026-06,111,62236,56147
ACC_0038,2026-07,105,68869,57465
ACC_0038,2026-08,115,79051,62062
ACC_0039,2026-03,4,5212,4170
ACC_0039,2026-04,3,5135,4335
ACC_0039,2026-05,4,4325,3699
ACC_0039,2026-06,5,6566,5162
ACC_0039,2026-07,6,7775,6195
ACC_0039,2026-08,7,8857,7434
ACC_0040,2026-03,130,112759,98726
ACC_0040,2026-04,127,134001,109608
ACC_0040,2026-05,119,134651,117351
ACC_0040,2026-06,124,140301,119590
ACC_0040,2026-07,125,130985,105621
ACC_0040,2026-08,122,147913,127961
ACC_0041,2026-03,31,52116,41889
ACC_0041,2026-04,32,49472,38916
ACC_0041,2026-05,28,52061,41726
ACC_0041,2026-06,30,38667,32650
ACC_0041,2026-07,27,52474,42797
ACC_0041,2026-08,30,43300,36164
ACC_0042,2026-03,8,7149,6429
ACC_0042,2026-04,9,7402,6038
ACC_0042,2026-05,8,6774,5779
ACC_0042,2026-06,4,3684,3040
ACC_0042,2026-07,2,1955,1520
ACC_0042,2026-08,1,875,760
ACC_0043,2026-03,45,29776,24500
ACC_0043,2026-04,44,31128,24021
ACC_0043,2026-05,41,27048,22501
ACC_0043,2026-06,45,26072,23369
ACC_0043,2026-07,44,30331,23489
ACC_0043,2026-08,46,31820,24749
ACC_0044,2026-03,8,3154,2786
ACC_0044,2026-04,7,3500,3022
ACC_0044,2026-05,7,3850,3336
ACC_0044,2026-06,9,4562,3837
ACC_0044,2026-07,11,5858,4604
ACC_0044,2026-08,12,6478,5525
ACC_0045,2026-03,196,108519,88055
ACC_0045,2026-04,236,97522,87385
ACC_0045,2026-05,202,80792,72606
ACC_0045,2026-06,260,126179,98907
ACC_0045,2026-07,312,143576,118689
ACC_0045,2026-08,375,157420,142427
ACC_0046,2026-03,3,4815,4312
ACC_0046,2026-04,4,4614,4027
ACC_0046,2026-05,4,4606,4094
ACC_0046,2026-06,5,6024,4998
ACC_0046,2026-07,6,6802,5998
ACC_0046,2026-08,7,7967,7197
ACC_0047,2026-03,11,3655,3026
ACC_0047,2026-04,10,3370,2605
ACC_0047,2026-05,11,2917,2392
ACC_0047,2026-06,5,1623,1324
ACC_0047,2026-07,2,812,662
ACC_0047,2026-08,1,401,331
ACC_0048,2026-03,59,17080,14705
ACC_0048,2026-04,62,16573,15038
ACC_0048,2026-05,63,20368,18069
ACC_0048,2026-06,31,9704,8385
ACC_0048,2026-07,15,5059,4192
ACC_0048,2026-08,7,2593,2096
ACC_0049,2026-03,276,223887,193242
ACC_0049,2026-04,289,197570,168184
ACC_0049,2026-05,300,236905,200946
ACC_0049,2026-06,367,268249,236833
ACC_0049,2026-07,393,354517,284200
ACC_0049,2026-08,393,401726,341040
ACC_0050,2026-03,36,13640,10826
ACC_0050,2026-04,36,13158,11399
ACC_0050,2026-05,36,12547,10875
ACC_0050,2026-06,42,14704,12926
ACC_0050,2026-07,51,17275,15512
ACC_0050,2026-08,61,20984,18614
ACC_0051,2026-03,200,184386,162090
ACC_0051,2026-04,189,163197,135210
ACC_0051,2026-05,196,158859,137679
ACC_0051,2026-06,219,191457,166984
ACC_0051,2026-07,195,182303,156031
ACC_0051,2026-08,202,221420,170377
ACC_0052,2026-03,16,24345,21560
ACC_0052,2026-04,17,23453,19405
ACC_0052,2026-05,17,25798,22433
ACC_0052,2026-06,21,28305,24063
ACC_0052,2026-07,26,31836,28876
ACC_0052,2026-08,27,44870,34651
ACC_0053,2026-03,3,10472,9188
ACC_0053,2026-04,3,8664,7026
ACC_0053,2026-05,3,9994,7734
ACC_0053,2026-06,3,8944,7181
ACC_0053,2026-07,3,9130,8120
ACC_0053,2026-08,3,8811,7518
ACC_0054,2026-03,8,3816,3276
ACC_0054,2026-04,8,3303,2939
ACC_0054,2026-05,9,2977,2686
ACC_0054,2026-06,9,3812,3127
ACC_0054,2026-07,8,3125,2762
ACC_0054,2026-08,8,4195,3262
ACC_0055,2026-03,16,32520,28903
ACC_0055,2026-04,15,38259,30420
ACC_0055,2026-05,16,34462,29015
ACC_0055,2026-06,15,32908,28088
ACC_0055,2026-07,14,35622,29758
ACC_0055,2026-08,15,30913,24942
ACC_0056,2026-03,31,16278,12782
ACC_0056,2026-04,33,16189,14301
ACC_0056,2026-05,32,16062,12709
ACC_0056,2026-06,32,15974,12727
ACC_0056,2026-07,32,17628,13809
ACC_0056,2026-08,33,15151,12378
ACC_0057,2026-03,4,9085,7541
ACC_0057,2026-04,4,9689,7925
ACC_0057,2026-05,3,9128,8135
ACC_0057,2026-06,2,4700,3902
ACC_0057,2026-07,1,2172,1951
ACC_0057,2026-08,1,1235,975
ACC_0058,2026-03,4,3657,3306
ACC_0058,2026-04,4,4218,3521
ACC_0058,2026-05,4,4151,3741
ACC_0058,2026-06,4,4279,3881
ACC_0058,2026-07,5,4902,3813
ACC_0058,2026-08,5,4429,3608
ACC_0059,2026-03,10,4800,3866
ACC_0059,2026-04,11,4146,3742
ACC_0059,2026-05,9,4882,3788
ACC_0059,2026-06,5,2599,2012
ACC_0059,2026-07,2,1126,1006
ACC_0059,2026-08,1,626,503
ACC_0060,2026-03,7,5620,4949
ACC_0060,2026-04,8,5212,4649
ACC_0060,2026-05,8,5442,4567
ACC_0060,2026-06,9,7057,5724
ACC_0060,2026-07,11,8768,6869
ACC_0060,2026-08,13,9342,8243
ACC_0061,2026-03,58,39198,32130
ACC_0061,2026-04,61,43133,35647
ACC_0061,2026-05,62,41501,35097
ACC_0061,2026-06,58,40669,34919
ACC_0061,2026-07,54,37884,32242
ACC_0061,2026-08,57,40012,34140
ACC_0062,2026-03,6,6315,5180
ACC_0062,2026-04,6,6026,5194
ACC_0062,2026-05,6,5271,4147
ACC_0062,2026-06,7,5995,5429
ACC_0062,2026-07,9,8237,6515
ACC_0062,2026-08,11,9678,7818
ACC_0063,2026-03,371,221567,198030
ACC_0063,2026-04,363,200464,173864
ACC_0063,2026-05,394,206438,179317
ACC_0063,2026-06,183,112446,96932
ACC_0063,2026-07,91,58842,48466
ACC_0063,2026-08,45,29414,24233
ACC_0064,2026-03,20,15659,12378
ACC_0064,2026-04,20,17991,14039
ACC_0064,2026-05,19,16079,12903
ACC_0064,2026-06,19,13321,11989
ACC_0064,2026-07,20,16549,13099
ACC_0064,2026-08,19,19415,15240
ACC_0065,2026-03,282,148985,121478
ACC_0065,2026-04,236,136918,117641
ACC_0065,2026-05,263,137243,110720
ACC_0065,2026-06,242,159667,122871
ACC_0065,2026-07,284,152666,125646
ACC_0065,2026-08,238,143834,114402
ACC_0066,2026-03,4,2080,1763
ACC_0066,2026-04,4,2558,2039
ACC_0066,2026-05,4,2199,1815
ACC_0066,2026-06,4,2427,2131
ACC_0066,2026-07,4,2507,2182
ACC_0066,2026-08,4,2571,2208
ACC_0067,2026-03,95,153830,131602
ACC_0067,2026-04,101,177798,156809
ACC_0067,2026-05,95,200514,159068
ACC_0067,2026-06,100,183065,142481
ACC_0067,2026-07,93,173230,153139
ACC_0067,2026-08,102,158542,127046
ACC_0068,2026-03,5,5141,4662
ACC_0068,2026-04,4,4472,3758
ACC_0068,2026-05,4,4687,3882
ACC_0068,2026-06,4,4932,4283
ACC_0068,2026-07,4,5130,4547
ACC_0068,2026-08,4,4427,3639
ACC_0069,2026-03,184,148168,128367
ACC_0069,2026-04,194,152981,137410
ACC_0069,2026-05,202,163076,127148
ACC_0069,2026-06,190,123914,106961
ACC_0069,2026-07,210,151748,117094
ACC_0069,2026-08,196,165022,128846
ACC_0070,2026-03,10,5443,4568
ACC_0070,2026-04,12,4495,3911
ACC_0070,2026-05,11,5114,4339
ACC_0070,2026-06,13,6200,5480
ACC_0070,2026-07,15,7690,6577
ACC_0070,2026-08,15,9236,7892
ACC_0071,2026-03,6,11567,9442
ACC_0071,2026-04,7,12182,9646
ACC_0071,2026-05,6,10146,8777
ACC_0071,2026-06,3,4879,4317
ACC_0071,2026-07,1,2761,2158
ACC_0071,2026-08,1,1328,1079
ACC_0072,2026-03,13,9945,8038
ACC_0072,2026-04,12,8755,7387
ACC_0072,2026-05,12,8873,7458
ACC_0072,2026-06,12,9194,7560
ACC_0072,2026-07,13,7424,6584
ACC_0072,2026-08,13,10375,8094
ACC_0073,2026-03,155,365613,284874
ACC_0073,2026-04,161,330759,256458
ACC_0073,2026-05,154,304085,238325
ACC_0073,2026-06,201,376794,302545
ACC_0073,2026-07,210,454938,363054
ACC_0073,2026-08,210,555920,435665
ACC_0074,2026-03,23,20418,16636
ACC_0074,2026-04,23,15456,13587
ACC_0074,2026-05,21,16882,13015
ACC_0074,2026-06,27,22273,18206
ACC_0074,2026-07,29,26677,21847
ACC_0074,2026-08,29,32049,26217
ACC_0075,2026-03,8,5270,4677
ACC_0075,2026-04,10,5256,4274
ACC_0075,2026-05,8,4980,4169
ACC_0075,2026-06,8,4679,3960
ACC_0075,2026-07,10,6276,4865
ACC_0075,2026-08,8,5173,4536
ACC_0076,2026-03,203,336632,280998
ACC_0076,2026-04,179,287218,249895
ACC_0076,2026-05,181,272268,218327
ACC_0076,2026-06,181,292022,238912
ACC_0076,2026-07,194,313604,260243
ACC_0076,2026-08,199,331023,274907
ACC_0077,2026-03,159,325232,269327
ACC_0077,2026-04,162,295861,251267
ACC_0077,2026-05,155,377842,332032
ACC_0077,2026-06,177,415629,349883
ACC_0077,2026-07,213,536110,419860
ACC_0077,2026-08,254,632175,503832
ACC_0078,2026-03,20,13208,10976
ACC_0078,2026-04,18,16571,13922
ACC_0078,2026-05,21,14061,11198
ACC_0078,2026-06,10,8155,6334
ACC_0078,2026-07,5,3924,3167
ACC_0078,2026-08,2,1784,1583
ACC_0079,2026-03,6,4265,3335
ACC_0079,2026-04,7,3044,2614
ACC_0079,2026-05,7,3589,3169
ACC_0079,2026-06,8,4458,3576
ACC_0079,2026-07,9,4799,4292
ACC_0079,2026-08,11,6392,5150
ACC_0080,2026-03,125,168316,137692
ACC_0080,2026-04,111,135640,122333
ACC_0080,2026-05,111,145971,114554
ACC_0080,2026-06,59,76677,60256
ACC_0080,2026-07,29,34117,30128
ACC_0080,2026-08,14,17006,15064
ACC_0081,2026-03,50,26575,21689
ACC_0081,2026-04,44,22364,19608
ACC_0081,2026-05,49,24324,20411
ACC_0081,2026-06,51,24590,22332
ACC_0081,2026-07,51,24734,20311
ACC_0081,2026-08,48,23935,21450
ACC_0082,2026-03,9,6365,5032
ACC_0082,2026-04,8,5444,4424
ACC_0082,2026-05,8,6749,5472
ACC_0082,2026-06,9,5967,4647
ACC_0082,2026-07,8,5477,4823
ACC_0082,2026-08,9,6328,5111
ACC_0083,2026-03,28,39965,31878
ACC_0083,2026-04,28,52397,41452
ACC_0083,2026-05,30,45464,40849
ACC_0083,2026-06,28,41762,32835
ACC_0083,2026-07,28,41198,36077
ACC_0083,2026-08,27,39009,32126
ACC_0084,2026-03,210,297077,256668
ACC_0084,2026-04,198,255066,211660
ACC_0084,2026-05,213,241144,214171
ACC_0084,2026-06,196,276321,225316
ACC_0084,2026-07,193,247408,202482
ACC_0084,2026-08,202,281897,256197
ACC_0085,2026-03,64,109511,89539
ACC_0085,2026-04,60,99179,84774
ACC_0085,2026-05,65,110146,89687
ACC_0085,2026-06,63,101252,90926
ACC_0085,2026-07,59,124876,99630
ACC_0085,2026-08,56,109958,93248
ACC_0086,2026-03,4,5620,4700
ACC_0086,2026-04,4,4046,3590
ACC_0086,2026-05,4,5247,4122
ACC_0086,2026-06,4,5209,4125
ACC_0086,2026-07,4,4354,3616
ACC_0086,2026-08,4,5322,4395
ACC_0087,2026-03,9,5318,4543
ACC_0087,2026-04,9,4204,3801
ACC_0087,2026-05,9,5358,4224
ACC_0087,2026-06,8,4796,3935
ACC_0087,2026-07,9,5432,4377
ACC_0087,2026-08,8,4137,3498
ACC_0088,2026-03,20,22097,18338
ACC_0088,2026-04,18,20772,18757
ACC_0088,2026-05,18,20552,17110
ACC_0088,2026-06,23,29468,23391
ACC_0088,2026-07,26,35956,28069
ACC_0088,2026-08,26,38089,33683
ACC_0089,2026-03,6,7820,6929
ACC_0089,2026-04,6,9037,7019
ACC_0089,2026-05,6,7089,5695
ACC_0089,2026-06,3,3813,3200
ACC_0089,2026-07,1,1988,1600
ACC_0089,2026-08,1,963,800
ACC_0090,2026-03,271,74562,63911
ACC_0090,2026-04,273,63477,50651
ACC_0090,2026-05,266,61658,49260
ACC_0090,2026-06,260,59846,52492
ACC_0090,2026-07,242,72832,58054
ACC_0090,2026-08,262,60620,53575
ACC_0091,2026-03,7,3167,2707
ACC_0091,2026-04,7,3287,2649
ACC_0091,2026-05,6,3054,2741
ACC_0091,2026-06,7,3358,2825
ACC_0091,2026-07,6,3633,2942
ACC_0091,2026-08,6,3047,2571
ACC_0092,2026-03,51,59890,50363
ACC_0092,2026-04,48,51567,45249
ACC_0092,2026-05,52,58091,52067
ACC_0092,2026-06,53,62407,51425
ACC_0092,2026-07,45,64424,51967
ACC_0092,2026-08,45,55221,44936
ACC_0093,2026-03,7,6654,5778
ACC_0093,2026-04,7,5998,4674
ACC_0093,2026-05,7,6668,5724
ACC_0093,2026-06,9,7422,6198
ACC_0093,2026-07,11,8279,7438
ACC_0093,2026-08,13,10020,8926
ACC_0094,2026-03,15,21737,19314
ACC_0094,2026-04,13,25831,20512
ACC_0094,2026-05,14,24624,19567
ACC_0094,2026-06,17,27114,22473
ACC_0094,2026-07,21,31826,26968
ACC_0094,2026-08,25,38272,32361
ACC_0095,2026-03,39,33165,26264
ACC_0095,2026-04,40,35533,29934
ACC_0095,2026-05,42,32065,27950
ACC_0095,2026-06,41,30982,24089
ACC_0095,2026-07,40,33471,27471
ACC_0095,2026-08,39,35451,28038
ACC_0096,2026-03,5,6859,5626
ACC_0096,2026-04,6,6210,5053
ACC_0096,2026-05,5,5501,4878
ACC_0096,2026-06,5,7239,5737
ACC_0096,2026-07,6,6650,5586
ACC_0096,2026-08,5,6558,5514
ACC_0097,2026-03,8,5985,5156
ACC_0097,2026-04,9,5830,4497
ACC_0097,2026-05,8,4430,4022
ACC_0097,2026-06,9,5014,4455
ACC_0097,2026-07,8,5331,4407
ACC_0097,2026-08,7,6152,4867
ACC_0098,2026-03,35,20542,16865
ACC_0098,2026-04,40,21629,18311
ACC_0098,2026-05,38,17844,15726
ACC_0098,2026-06,19,9709,8609
ACC_0098,2026-07,9,5212,4304
ACC_0098,2026-08,4,2730,2152
ACC_0099,2026-03,34,24866,22067
ACC_0099,2026-04,28,22329,17946
ACC_0099,2026-05,31,26737,20598
ACC_0099,2026-06,15,11725,10498
ACC_0099,2026-07,7,6448,5249
ACC_0099,2026-08,3,3104,2624
ACC_0100,2026-03,14,7612,6392
ACC_0100,2026-04,13,7951,6756
ACC_0100,2026-05,12,6636,6025
ACC_0100,2026-06,16,8873,7397
ACC_0100,2026-07,18,11062,8877
ACC_0100,2026-08,18,13234,10652
ACC_0101,2026-03,53,38504,31727
ACC_0101,2026-04,57,29340,24526
ACC_0101,2026-05,57,30866,24767
ACC_0101,2026-06,27,17989,13873
ACC_0101,2026-07,13,8994,6936
ACC_0101,2026-08,6,4355,3468
ACC_0102,2026-03,122,134706,109863
ACC_0102,2026-04,124,154572,124976
ACC_0102,2026-05,121,148909,121797
ACC_0102,2026-06,144,182817,142746
ACC_0102,2026-07,173,206754,171295
ACC_0102,2026-08,198,226553,205555
ACC_0103,2026-03,13,33266,25746
ACC_0103,2026-04,13,27347,24703
ACC_0103,2026-05,13,35299,28344
ACC_0103,2026-06,15,38377,31645
ACC_0103,2026-07,18,42237,37974
ACC_0103,2026-08,21,54438,45569
ACC_0104,2026-03,289,324021,293110
ACC_0104,2026-04,301,271025,242991
ACC_0104,2026-05,319,309790,253271
ACC_0104,2026-06,288,316656,253673
ACC_0104,2026-07,308,383435,307291
ACC_0104,2026-08,311,298451,262934
ACC_0105,2026-03,48,16214,14518
ACC_0105,2026-04,41,19472,17220
ACC_0105,2026-05,45,21936,17492
ACC_0105,2026-06,42,18367,14963
ACC_0105,2026-07,42,19063,16307
ACC_0105,2026-08,46,18424,16404
ACC_0106,2026-03,152,320072,249182
ACC_0106,2026-04,144,272989,231737
ACC_0106,2026-05,145,263087,221651
ACC_0106,2026-06,146,281437,239236
ACC_0106,2026-07,147,286174,221639
ACC_0106,2026-08,140,259566,221707
ACC_0107,2026-03,52,26503,21027
ACC_0107,2026-04,52,27604,23154
ACC_0107,2026-05,56,25717,20834
ACC_0107,2026-06,65,33986,27100
ACC_0107,2026-07,78,39153,32520
ACC_0107,2026-08,85,48217,39025
ACC_0108,2026-03,34,20565,17395
ACC_0108,2026-04,38,24689,21097
ACC_0108,2026-05,39,20473,18498
ACC_0108,2026-06,38,21119,17328
ACC_0108,2026-07,40,22307,18287
ACC_0108,2026-08,34,25395,22730
ACC_0109,2026-03,6,8928,7853
ACC_0109,2026-04,5,7551,6516
ACC_0109,2026-05,6,7479,6282
ACC_0109,2026-06,6,9635,7780
ACC_0109,2026-07,6,8960,7782
ACC_0109,2026-08,6,7472,6717
ACC_0110,2026-03,281,68424,57591
ACC_0110,2026-04,257,85462,69933
ACC_0110,2026-05,241,69778,61818
ACC_0110,2026-06,309,93226,74359
ACC_0110,2026-07,371,102051,89231
ACC_0110,2026-08,445,131562,107077
ACC_0111,2026-03,45,22416,19491
ACC_0111,2026-04,48,24122,21352
ACC_0111,2026-05,50,26581,21560
ACC_0111,2026-06,59,26409,22899
ACC_0111,2026-07,71,34073,27478
ACC_0111,2026-08,72,42237,32974
ACC_0112,2026-03,28,40523,31938
ACC_0112,2026-04,30,42704,35351
ACC_0112,2026-05,25,46751,36999
ACC_0112,2026-06,28,42754,33220
ACC_0112,2026-07,27,40524,34339
ACC_0112,2026-08,29,41421,37045
ACC_0113,2026-03,120,197226,173718
ACC_0113,2026-04,103,182751,160562
ACC_0113,2026-05,119,228214,186127
ACC_0113,2026-06,57,97464,83171
ACC_0113,2026-07,28,46449,41585
ACC_0113,2026-08,14,25502,20792
ACC_0114,2026-03,99,170925,142694
ACC_0114,2026-04,87,163211,140512
ACC_0114,2026-05,96,181744,152744
ACC_0114,2026-06,105,132837,119543
ACC_0114,2026-07,101,134592,119783
ACC_0114,2026-08,101,173736,145792
ACC_0115,2026-03,4,4864,4061
ACC_0115,2026-04,4,5209,4257
ACC_0115,2026-05,4,4370,3963
ACC_0115,2026-06,5,5377,4254
ACC_0115,2026-07,4,4966,3920
ACC_0115,2026-08,4,4665,4155
ACC_0116,2026-03,171,144293,115658
ACC_0116,2026-04,174,115168,93117
ACC_0116,2026-05,179,128577,99446
ACC_0116,2026-06,167,102968,90746
ACC_0116,2026-07,162,122576,97943
ACC_0116,2026-08,165,114399,100970
ACC_0117,2026-03,183,92976,76055
ACC_0117,2026-04,210,70489,58869
